["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
3.08, 26971, 923, 1113, 66, 0, 1099, 3320, 38737
2.96, 59211, 756, 876, 71, 0, 246, 2239, 83236
3.28, 37395, 16754, 18468, 13010, 12, 12739, 55374, 75227
2.28, 35819, 12826, 15585, 1065, 0, 5769, 29402, 43213
2.32, 38940, 19401, 22576, 407, 12, 15821, 48480, 48823
2.47, 51181, 415, 522, 0, 0, 119, 1025, 62627
2.81, 55982, 717, 781, 0, 0, 225, 2015, 62612
2.81, 55982, 717, 781, 0, 0, 225, 2015, 62612
2.23, 54688, 837, 909, 12, 0, 157, 1895, 51521
2.23, 54688, 837, 909, 12, 0, 157, 1895, 51521
2.31, 38469, 12791, 13738, 1795, 0, 6372, 29774, 98499
2.52, 61669, 12924, 13836, 75, 0, 2378, 33405, 70605
2.86, 65682, 4636, 4904, 53, 0, 1647, 13370, 70070
2.51, 95085, 8778, 9536, 106, 10, 813, 22272, 06437
2.56, 35504, 11104, 13100, 3202, 0, 7910, 29371, 29406
2.91, 50575, 4314, 5204, 952, 9, 1790, 13319, 85653
2.13, 32479, 8307, 9483, 116, 0, 4465, 20404, 29204
2.12, 41815, 11865, 13305, 460, 0, 6013, 26857, 29205
2.13, 54863, 10107, 10732, 85, 0, 1646, 21560, 71105
2.6, 50592, 19425, 21033, 6126, 60, 8204, 50845, 02151
2.58, 62223, 7390, 8182, 64, 21, 1405, 19073, 32444
2.26, 39141, 1698, 2510, 8, 0, 693, 3848, 03818
2.36, 38610, 8477, 9707, 4, 0, 3455, 21345, 63401
3.06, 83360, 15595, 16137, 1676, 0, 3089, 47881, 90630
na, na, 0, 0, 7, 0, 0, 2372, 71272
2.38, 45393, 17111, 18479, 843, 0, 8494, 42521, 55104
3.09, 64824, 18503, 19617, 10143, 105, 6489, 57542, 92780
2.98, 116510, 6007, 6236, 243, 0, 531, 17879, 22025
2.49, 25894, 14156, 16101, 8724, 259, 12828, 38318, 06106
2.62, 71884, 23348, 24592, 211, 16, 4843, 62042, 44256
2.62, 65298, 16393, 17726, 762, 0, 2770, 43459, 02703
2.73, 24922, 1202, 1577, 0, 0, 1429, 4412, 71245
3.87, 50595, 6471, 6796, 2479, 20, 4727, 25355, 92844
4.3, 55476, 12263, 12996, 13117, 101, 8562, 52829, 95122
2.47, 31097, 15446, 17673, 656, 0, 11288, 41279, 29203
2.65, 33306, 2056, 2215, 0, 0, 1135, 5518, 63845
2.29, 44124, 12858, 14686, 199, 0, 4713, 35007, 32503
4.1, 27612, 2595, 2673, 3752, 0, 4463, 10627, 93646
2.44, 63197, 5850, 6502, 273, 0, 1365, 14281, 32615
2.21, 38600, 7042, 7784, 74, 0, 2271, 16028, 24210
4.8, 31111, 514, 562, 1467, 0, 897, 2465, 93249
2.68, 55565, 7330, 7875, 981, 0, 2580, 20223, 95827
2.77, 37182, 14419, 19302, 421, 0, 9382, 40383, 38116
2.64, 69396, 23860, 25916, 8937, 0, 6442, 63580, 20906
2.6, 79441, 21590, 23296, 250, 0, 4594, 56859, 94122
2.61, 22818, 13925, 18102, 166, 9, 12746, 37017, 32209
2.48, 44064, 6840, 7950, 100, 0, 2653, 17262, 29671
2.61, 35559, 17761, 20185, 895, 0, 10859, 46826, 29720
2.17, 44392, 15320, 16804, 80, 0, 4572, 35116, 24401
2.61, 33122, 8258, 9834, 112, 0, 6139, 22028, 31015
2.33, 32458, 2198, 2487, 5, 0, 911, 5189, 26034
2.51, 95085, 8778, 9536, 106, 10, 813, 22272, 06437
2.6, 91375, 3820, 3868, 213, 3, 199, 12317, 06078
2.54, 48198, 30245, 32651, 5735, 0, 9301, 76983, 37013
2.13, 25351, 4229, 5280, 163, 0, 3142, 11964, 32501
2.5, 38393, 6435, 7128, 162, 0, 3267, 20721, 48846
2.84, 55875, 2051, 2164, 35, 0, 763, 5837, 43072
2.21, 33051, 10659, 11397, 246, 0, 6340, 25556, 83843
2.76, 54948, 18517, 21619, 3807, 67, 5964, 51356, 70065
2.71, 50690, 8181, 8959, 14, 0, 2241, 22386, 48420
2.58, 32745, 6411, 7440, 75, 0, 3741, 19236, 36502
2.77, 34517, 8325, 10107, 1951, 0, 5020, 23681, 33805
2.35, 59485, 959, 1212, 10, 0, 202, 2279, 56209
2.52, 46515, 670, 724, 17, 0, 216, 1686, 56243
2.06, 46167, 452, 508, 0, 0, 62, 973, 56228
2.31, 69427, 6736, 8612, 454, 0, 1467, 17339, 33431
2.14, 31739, 1326, 1968, 0, 0, 616, 2896, 49911
2.97, 62857, 310, 339, 1, 0, 39, 924, 50257
2.42, 59254, 3564, 3762, 11, 0, 635, 8688, 55810
2.72, 44668, 1163, 1355, 20, 0, 336, 3191, 48615
1.91, 30445, 4668, 5755, 277, 0, 2396, 10475, 29601
3.04, 23725, 9400, 14162, 46, 0, 11914, 29031, 48213
2.56, 99452, 11235, 11926, 1274, 96, 1151, 28835, 22310
2.63, 76088, 10653, 11664, 3193, 26, 3020, 28143, 22312
2.87, 95468, 9770, 10362, 2019, 510, 1461, 28076, 20121
2.61, 101787, 9009, 9688, 1246, 80, 1314, 23627, 22043
2.65, 39464, 14427, 18460, 273, 0, 7678, 39311, 23803
1.92, 35100, 5941, 9393, 180, 0, 3085, 11524, 70116
2.17, 21933, 7835, 9404, 198, 0, 7797, 18468, 32601
2.52, 72699, 17556, 18403, 1570, 0, 2649, 45052, 06492
2.57, 61779, 11695, 12889, 621, 0, 2697, 30728, 22630
2.4, 45833, 5444, 6257, 14, 11, 1816, 13306, 23661
2.38, 67793, 15584, 16036, 167, 0, 1984, 37419, 55110
6.42, 30942, 1814, 2146, 6, 0, 3861, 11706, 87327
2.38, 43006, 17753, 19778, 1300, 119, 5152, 43357, 53081
3.08, 47813, 13006, 14757, 6904, 55, 8586, 40612, 85042
2.58, 50012, 27246, 30660, 7681, 18, 11234, 71154, 85032
2.9, 98424, 3037, 3220, 103, 0, 218, 8809, 31820
2.7, 104440, 6532, 6806, 207, 0, 392, 17672, 07405
2.63, 49769, 1504, 1855, 112, 0, 623, 3959, 75473
2.68, 28510, 105, 128, 0, 0, 155, 281, 41729
2.98, 76922, 15026, 16107, 940, 0, 1993, 44861, 75098
2.77, 67140, 14856, 15265, 1978, 0, 2703, 41234, 75044
2.36, 32651, 2778, 4037, 60, 0, 1284, 6711, 36310
2.5, 32153, 5164, 6151, 10, 0, 3081, 13078, 29620
2.36, 32651, 2778, 4037, 60, 0, 1284, 6711, 36310
2.5, 32153, 5164, 6151, 10, 0, 3081, 13078, 29620
2.36, 32651, 2778, 4037, 60, 0, 1284, 6711, 36310
2.62, 38182, 9418, 10771, 325, 29, 5210, 24966, 70510
3.1, 95305, 14030, 14178, 1341, 0, 1133, 43478, 11756
2.2, 47843, 12478, 13134, 75, 0, 5131, 27799, 50010
2.96, 119511, 7308, 7708, 42, 0, 291, 21716, 01886
2.32, 71239, 23110, 24606, 308, 16, 5208, 53874, 48103
2.49, 44052, 1044, 1163, 74, 0, 197, 2674, 54405
2.49, 44052, 1044, 1163, 74, 0, 197, 2674, 54405
2.77, 85351, 13922, 14606, 713, 0, 2017, 38769, 99507
2.18, 39760, 6885, 7895, 97, 0, 2246, 16213, 01247
2.52, 89205, 15266, 16190, 1961, 0, 1931, 39102, 94403
2.74, 96691, 6425, 6821, 47, 0, 632, 17722, 48324
2.75, 54985, 16648, 17839, 9211, 53, 5857, 47265, 60123
2.45, 61436, 518, 577, 55, 0, 106, 1268, 76621
2.67, 121506, 2753, 2826, 111, 0, 175, 7419, 10533
2.93, 98668, 13552, 14729, 546, 0, 3402, 39659, 30097
2.45, 36652, 18879, 23042, 281, 10, 11038, 50900, 21218
2.42, 42197, 3663, 4195, 0, 0, 1486, 9189, 24605
2.32, 60234, 8560, 9117, 657, 0, 1591, 20283, 01606
3.21, 86043, 21395, 22444, 1764, 0, 5298, 68889, 92592
3.28, 87522, 15065, 15311, 1136, 16, 2678, 49537, 90703
2.95, 21094, 276, 436, 0, 0, 459, 815, 36720
2.27, 41085, 1265, 1390, 17, 0, 202, 2935, 68620
3.28, 87522, 15065, 15311, 1136, 16, 2678, 49537, 90703
1.68, 51784, 3182, 6006, 1778, 18, 857, 6851, 33132
2.93, 50770, 11216, 12357, 4909, 0, 4947, 33400, 67846
3.87, 45101, 21486, 24745, 31272, 96, 14438, 83822, 60804
2.51, 74947, 13247, 14237, 1381, 0, 2901, 33718, 79707
2.24, 46544, 12673, 13852, 142, 0, 2979, 29946, 57401
2.49, 55415, 19746, 22454, 381, 0, 5237, 49387, 23666
2.42, 37236, 4645, 5509, 209, 0, 1741, 11334, 28315
2.3, 43838, 12985, 14012, 581, 0, 5585, 30855, 49505
3.34, 38750, 997, 1134, 392, 0, 939, 3334, 83210
2.52, 26996, 4715, 5417, 158, 0, 3237, 12178, 39730
2.54, 58457, 8154, 8790, 182, 0, 2532, 20769, 21001
2.52, 26996, 4715, 5417, 158, 0, 3237, 12178, 39730
3.34, 38750, 997, 1134, 392, 0, 939, 3334, 83210
2.52, 26996, 4715, 5417, 158, 0, 3237, 12178, 39730
2.54, 58457, 8154, 8790, 182, 0, 2532, 20769, 21001
3.34, 38750, 997, 1134, 392, 0, 939, 3334, 83210
2.42, 37236, 4645, 5509, 209, 0, 1741, 11334, 28315
2.78, 38783, 9080, 10500, 2915, 22, 4981, 28920, 79072
2.89, 43893, 1207, 1380, 199, 0, 741, 3492, 79311
2.89, 43893, 1207, 1380, 199, 0, 741, 3492, 79311
2.89, 43893, 1207, 1380, 199, 0, 741, 3492, 79311
1.93, 46453, 11846, 12559, 157, 0, 3569, 23511, 97214
2.7, 65542, 19454, 21847, 1016, 0, 3223, 52659, 32225
2.24, 55888, 8331, 9741, 68, 0, 2234, 18979, 86305
2.35, 62836, 6046, 6298, 61, 16, 1610, 14350, 02189
2.83, 58356, 3194, 3308, 19, 0, 583, 9098, 67147
2.66, 37356, 8240, 9468, 1398, 0, 4304, 22282, 79603
2.56, 54611, 3959, 4662, 40, 0, 946, 10305, 67410
2.56, 54611, 3959, 4662, 40, 0, 946, 10305, 67410
2.42, 33391, 7389, 8412, 1430, 0, 4824, 26718, 79601
2.56, 54611, 3959, 4662, 40, 0, 946, 10305, 67410
1.89, 91112, 9937, 11142, 571, 0, 1242, 18774, 22206
2.75, 54834, 4631, 5209, 23, 0, 1418, 12732, 23072
2.21, 38600, 7042, 7784, 74, 0, 2271, 16028, 24210
2.67, 85891, 10784, 11495, 150, 0, 875, 28770, 21009
2.21, 38600, 7042, 7784, 74, 0, 2271, 16028, 24210
2.46, 46375, 1584, 1725, 10, 0, 600, 3949, 61410
2.46, 46375, 1584, 1725, 10, 0, 600, 3949, 61410
3.02, 34017, 11897, 14832, 7187, 6, 9855, 36076, 07107
2.63, 81677, 5962, 6306, 124, 0, 690, 15841, 02351
2.46, 69882, 8663, 9074, 37, 0, 816, 22099, 18411
2.46, 69882, 8663, 9074, 37, 0, 816, 22099, 18411
2.63, 81677, 5962, 6306, 124, 0, 690, 15841, 02351
2.78, 78330, 6252, 6450, 184, 0, 869, 17581, 19001
2.78, 78330, 6252, 6450, 184, 0, 869, 17581, 19001
