["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.88, 36405, 12031, 13565, 688, 0, 8536, 34825, 21225
3.02, 78609, 19594, 20894, 2374, 12, 4350, 59825, 94015
2.16, 40364, 11917, 12632, 109, 9, 5543, 28978, 54481
2.74, 69673, 13847, 14588, 96, 0, 2929, 38026, 46385
2.92, 94068, 13067, 13808, 1724, 0, 2751, 39636, 07666
2.13, 67321, 12510, 13974, 2072, 0, 2877, 26779, 75230
2.55, 42201, 6859, 7851, 93, 0, 2810, 17801, 48184
2.08, 51146, 19018, 20728, 307, 74, 5007, 40065, 62704
2.59, 22803, 12545, 15708, 3671, 0, 12164, 33393, 14621
2.37, 57833, 10256, 11763, 168, 0, 3032, 24593, 17110
2.45, 55459, 14540, 15703, 2838, 12, 5228, 36565, 06450
2.5, 29423, 7169, 8193, 175, 0, 5305, 18467, 74401
3.07, 53283, 20429, 21630, 15816, 182, 9726, 63424, 90042
2.49, 50911, 19330, 21285, 742, 26, 6705, 48836, 02780
2.23, 73162, 10670, 10989, 183, 5, 3595, 24338, 02144
3.03, 28185, 9866, 13059, 3973, 0, 10441, 30003, 46312
2.41, 38279, 20445, 23135, 130, 0, 10602, 54950, 43302
2.37, 48266, 12330, 14299, 468, 0, 3984, 29557, 28303
2.32, 59453, 7016, 7398, 72, 0, 1428, 16775, 01001
2.61, 37597, 14820, 16480, 5835, 55, 8710, 39012, 06513
2.77, 37182, 14419, 19302, 421, 0, 9382, 40383, 38116
2.45, 45473, 7728, 8642, 11, 0, 3498, 19265, 43311
2.45, 45473, 7728, 8642, 11, 0, 3498, 19265, 43311
2.45, 45473, 7728, 8642, 11, 0, 3498, 19265, 43311
3.27, 69202, 10756, 11233, 6970, 0, 3903, 35497, 60185
2.69, 72599, 10535, 11348, 920, 25, 2145, 28926, 11361
2.58, 61883, 21479, 24453, 807, 10, 3885, 55715, 19020
2.34, 95299, 24490, 26141, 1251, 15, 3492, 57812, 98052
2.57, 43464, 4372, 4815, 19, 0, 1561, 11511, 46173
2.52, 38737, 8258, 9969, 460, 0, 4034, 21289, 35010
2.53, 45972, 129, 182, 8, 0, 20, 382, 79505
2.51, 64542, 15838, 17059, 336, 13, 2311, 39728, 20748
2.78, 79281, 8769, 9376, 363, 0, 2318, 24640, 20602
2.55, 47790, 15879, 17710, 387, 28, 6362, 43669, 23669
2.67, 45298, 14091, 16047, 3096, 41, 6997, 38265, 27330
2.93, 102588, 8740, 9094, 519, 65, 1115, 26766, 20715
2.52, 78227, 7315, 8217, 34, 33, 588, 18685, 04074
2.89, 21434, 8399, 10472, 4275, 0, 10513, 24438, 77026
2.12, 41000, 614, 787, 0, 0, 125, 1338, 69021
2.38, 42337, 2003, 2220, 13, 0, 801, 4898, 62033
2.71, 47127, 9507, 11003, 362, 0, 3944, 26433, 39452
2.38, 53254, 10207, 11032, 193, 4, 1976, 26722, 16823
2.52, 58899, 16134, 17009, 2285, 23, 3981, 41069, 01453
3.43, 29842, 12425, 14245, 11007, 80, 16484, 43399, 85017
2.61, 51161, 8396, 9539, 127, 10, 2740, 23962, 32583
2.46, 37284, 871, 1028, 0, 0, 541, 2216, 57551
2.46, 37284, 871, 1028, 0, 0, 541, 2216, 57551
2.93, 58633, 2077, 2259, 57, 0, 476, 6126, 79382
3.02, 40248, 25198, 29834, 1033, 0, 19569, 76929, 60628
3.1, 76445, 13099, 14314, 6545, 0, 5304, 41939, 20110
2.31, 43229, 701, 875, 0, 0, 163, 1616, 27208
2.49, 62112, 10824, 11403, 47, 0, 2872, 27168, 58104
2.5, 50500, 318, 386, 0, 0, 88, 794, 52721
3.63, 27248, 9663, 13137, 10243, 37, 13688, 35164, 48209
1.9, 48214, 9200, 12154, 1138, 0, 2937, 18075, 33304
2.8, 67763, 1882, 2061, 68, 0, 362, 5271, 80102
2.26, 34029, 12099, 13077, 310, 0, 9098, 32991, 80521
2.64, 93141, 9140, 9547, 590, 104, 1289, 24399, 98008
2.47, 30567, 4413, 5376, 90, 11, 2882, 11038, 74728
2.8, 67763, 1882, 2061, 68, 0, 362, 5271, 80102
2.19, 40486, 8140, 9583, 97, 0, 4232, 19594, 14214
2.71, 41689, 12513, 13931, 3292, 29, 7236, 34848, 84401
2.41, 42062, 10475, 11293, 0, 0, 3923, 25545, 45356
2.48, 49534, 14551, 16085, 1030, 0, 6337, 36816, 21804
2.8, 67763, 1882, 2061, 68, 0, 362, 5271, 80102
2.19, 40486, 8140, 9583, 97, 0, 4232, 19594, 14214
2.8, 67763, 1882, 2061, 68, 0, 362, 5271, 80102
2.22, 31140, 9176, 10630, 98, 0, 4810, 20874, 49202
2.58, 39655, 11865, 13827, 153, 0, 6098, 30711, 43612
2.43, 75580, 8072, 8711, 37, 0, 2178, 19900, 48864
2.89, 86272, 10940, 11809, 243, 0, 1016, 31583, 30215
2.4, 90046, 13364, 13915, 231, 0, 1256, 32559, 01760
3.66, 42707, 7086, 7764, 7813, 0, 6689, 26055, 90303
2.33, 46607, 568, 1028, 0, 0, 104, 1322, 15868
2.47, 28374, 6448, 7936, 302, 15, 4709, 19411, 29512
2.47, 28374, 6448, 7936, 302, 15, 4709, 19411, 29512
2.47, 28374, 6448, 7936, 302, 15, 4709, 19411, 29512
2.25, 45584, 10535, 11939, 2717, 25, 4251, 27652, 06320
2.56, 55625, 10997, 11715, 418, 0, 2202, 28278, 48101
2.57, 21694, 8150, 9907, 1073, 0, 8638, 20989, 31903
2.61, 53063, 507, 537, 0, 0, 71, 1325, 67422
2.34, 40157, 5977, 6604, 31, 0, 2517, 14742, 05201
2.92, 92955, 2292, 2416, 41, 0, 130, 6682, 68007
2.41, 29038, 568, 867, 0, 0, 300, 1371, 74723
2.61, 53063, 507, 537, 0, 0, 71, 1325, 67422
2.41, 29038, 568, 867, 0, 0, 300, 1371, 74723
2.92, 92955, 2292, 2416, 41, 0, 130, 6682, 68007
3.46, 58857, 18929, 19677, 4850, 47, 6819, 65637, 84118
3.46, 58857, 18929, 19677, 4850, 47, 6819, 65637, 84118
2.49, 50998, 16555, 18051, 732, 0, 5151, 42238, 37066
2.74, 64492, 21893, 26213, 2989, 0, 5413, 61413, 33411
3.06, 58242, 8287, 9391, 2840, 0, 3537, 25463, 77365
2.58, 61883, 21479, 24453, 807, 10, 3885, 55715, 19020
2.74, 57428, 7530, 8451, 1281, 55, 1768, 20609, 23237
2.05, 44714, 2104, 2273, 4, 0, 365, 4454, 56215
2.05, 44714, 2104, 2273, 4, 0, 365, 4454, 56215
3, 34787, 7164, 8518, 2672, 0, 5922, 22139, 78801
2.65, 47412, 5719, 6538, 656, 0, 2985, 15279, 27504
2.29, 39099, 4153, 4998, 105, 7, 1100, 9595, 85602
2.72, 80864, 15788, 16536, 1097, 0, 3525, 42986, 98058
2.56, 40091, 14068, 15294, 784, 24, 6529, 36561, 68104
2.65, 47412, 5719, 6538, 656, 0, 2985, 15279, 27504
2.29, 39099, 4153, 4998, 105, 7, 1100, 9595, 85602
1.76, 41832, 6288, 6563, 54, 0, 1279, 11339, 97232
2.29, 39099, 4153, 4998, 105, 7, 1100, 9595, 85602
2.05, 44714, 2104, 2273, 4, 0, 365, 4454, 56215
2.77, 85351, 13922, 14606, 713, 0, 2017, 38769, 99507
2.45, 48574, 1765, 2286, 32, 0, 540, 4383, 05743
2.56, 40091, 14068, 15294, 784, 24, 6529, 36561, 68104
2.23, 42512, 15594, 17718, 479, 10, 5905, 37065, 61701
3.37, 52555, 15753, 16467, 22008, 8, 6171, 53548, 33175
2.6, 23608, 11648, 15486, 973, 14, 12090, 33125, 30315
2.82, 57564, 2797, 2877, 35, 0, 542, 7898, 49419
2.24, 56203, 17690, 18715, 2121, 47, 4859, 41051, 01970
2.46, 44084, 11453, 12588, 84, 8, 4619, 28354, 48867
3.07, 90521, 11177, 11476, 192, 0, 891, 34383, 60451
2.7, 46984, 16971, 21467, 1260, 42, 7415, 46269, 32771
2.89, 89614, 14041, 14756, 403, 10, 2574, 40572, 48188
2.45, 58750, 176, 203, 0, 0, 46, 431, 67016
2.62, 53789, 3925, 4284, 32, 0, 1071, 10312, 48509
2.29, 40684, 1751, 2605, 38, 0, 512, 4246, 17814
2.58, 47900, 742, 863, 8, 0, 162, 1937, 47971
2.29, 34000, 4552, 5505, 39, 0, 2004, 10657, 38320
2.52, 33527, 1187, 1624, 40, 0, 715, 3069, 38603
2.28, 55962, 418, 473, 0, 0, 73, 957, 52346
2.28, 55962, 418, 473, 0, 0, 73, 957, 52346
2.37, 36339, 4612, 5046, 15, 0, 1801, 11223, 62812
2.29, 34000, 4552, 5505, 39, 0, 2004, 10657, 38320
2.89, 61473, 11552, 13349, 3290, 0, 2973, 33749, 72758
2.6, 41839, 14161, 16816, 4333, 0, 6166, 37053, 72756
2.63, 65475, 5197, 5333, 78, 6, 981, 13833, 67209
2.4, 37813, 5831, 6428, 467, 0, 3067, 15644, 65340
2.63, 41033, 8808, 9722, 741, 0, 3854, 23712, 64850
2.42, 38407, 5279, 6021, 18, 0, 3120, 13727, 64772
2.57, 54063, 552, 606, 7, 0, 193, 1420, 53803
2.74, 39120, 1955, 2293, 16, 0, 1027, 5419, 37307
2.77, 42326, 1494, 1863, 64, 0, 485, 4144, 30565
2.73, 47072, 11458, 12117, 2837, 13, 3927, 32470, 46526
2.57, 44900, 7439, 9205, 88, 0, 2211, 19471, 42025
2.62, 66004, 4297, 4931, 126, 0, 1163, 11356, 71006
2.28, 38669, 10566, 11907, 149, 22, 4325, 26294, 04901
2.37, 36339, 4612, 5046, 15, 0, 1801, 11223, 62812
2.37, 36339, 4612, 5046, 15, 0, 1801, 11223, 62812
2.31, 43145, 3704, 4492, 0, 0, 1504, 8706, 13365
2.5, 26155, 12498, 14969, 634, 0, 10630, 31982, 49022
2.5, 26155, 12498, 14969, 634, 0, 10630, 31982, 49022
2.7, 47266, 9079, 10413, 1920, 30, 3315, 25201, 28112
2.58, 37522, 3961, 4581, 132, 0, 1804, 10250, 64504
2.57, 54063, 552, 606, 7, 0, 193, 1420, 53803
2.65, 44127, 9654, 10612, 141, 0, 3495, 26622, 72015
2.62, 66004, 4297, 4931, 126, 0, 1163, 11356, 71006
2.65, 44127, 9654, 10612, 141, 0, 3495, 26622, 72015
2.41, 25938, 37, 86, 0, 0, 1, 89, 59440
2.65, 44127, 9654, 10612, 141, 0, 3495, 26622, 72015
2.57, 44900, 7439, 9205, 88, 0, 2211, 19471, 42025
2.62, 66004, 4297, 4931, 126, 0, 1163, 11356, 71006
2.7, 71142, 6216, 6394, 32, 0, 645, 16973, 56377
2.62, 40266, 17665, 19230, 5220, 123, 9923, 47229, 99336
2.66, 37031, 1201, 1441, 0, 0, 702, 3195, 39040
2.61, 56703, 14795, 16358, 975, 0, 3831, 39234, 72712
2.64, 86669, 10757, 11278, 248, 0, 1109, 28441, 66213
2.33, 37722, 1610, 1731, 0, 0, 811, 3798, 15314
2.33, 37722, 1610, 1731, 0, 0, 811, 3798, 15314
2.33, 37722, 1610, 1731, 0, 0, 811, 3798, 15314
2.29, 47473, 12258, 13469, 944, 0, 3615, 28947, 27804
2.27, 35469, 836, 1125, 12, 0, 331, 1924, 49616
2.27, 35469, 836, 1125, 12, 0, 331, 1924, 49616
2.27, 35469, 836, 1125, 12, 0, 331, 1924, 49616
2.58, 35449, 9606, 11519, 2791, 0, 6380, 24772, 38122
2.56, 43176, 9145, 9995, 61, 0, 4198, 24145, 40403
2.56, 43176, 9145, 9995, 61, 0, 4198, 24145, 40403
2.56, 43176, 9145, 9995, 61, 0, 4198, 24145, 40403
2.55, 36518, 10169, 11356, 2798, 0, 7153, 26196, 29617
2.93, 74150, 3340, 3366, 192, 0, 352, 9924, 12549
2.55, 36518, 10169, 11356, 2798, 0, 7153, 26196, 29617
2.33, 52069, 7357, 7664, 418, 0, 1865, 19160, 44017
2.55, 36518, 10169, 11356, 2798, 0, 7153, 26196, 29617
4.18, 39711, 10948, 12134, 14497, 55, 13658, 46574, 93638
3.15, 29594, 18107, 19817, 25867, 184, 18083, 57912, 90006
1.93, 65475, 8969, 9987, 414, 14, 1617, 17342, 91602
2.52, 89205, 15266, 16190, 1961, 0, 1931, 39102, 94403
2.38, 54196, 1366, 1516, 5, 0, 184, 3325, 57004
2.38, 54196, 1366, 1516, 5, 0, 184, 3325, 57004
2.38, 54196, 1366, 1516, 5, 0, 184, 3325, 57004
2.8, 78319, 6937, 7245, 1083, 19, 1053, 19437, 28278
2.23, 45189, 8380, 9198, 69, 15, 2617, 20475, 50208
3.05, 24773, 9418, 10875, 130, 0, 11710, 31061, 71202
2.23, 45189, 8380, 9198, 69, 15, 2617, 20475, 50208
2.23, 57820, 18484, 19866, 5701, 29, 5395, 42857, 07601
2.68, 51166, 11302, 12243, 2910, 0, 3262, 30400, 07026
2.7, 58942, 4063, 4290, 466, 0, 589, 10984, 07657
3, 104105, 8322, 8606, 372, 0, 910, 26197, 07652
2.38, 90409, 9350, 10487, 24, 2, 1111, 22425, 80439
3, 104105, 8322, 8606, 372, 0, 910, 26197, 07652
2.38, 90409, 9350, 10487, 24, 2, 1111, 22425, 80439
2.96, 85811, 8940, 9452, 1659, 0, 1660, 26498, 07621
2.8, 51148, 8176, 9251, 225, 0, 3660, 22981, 60419
2.55, 59707, 3634, 4160, 110, 0, 2084, 11335, 06268
2.5, 37438, 12198, 13693, 225, 0, 4468, 31041, 72601
2.5, 37438, 12198, 13693, 225, 0, 4468, 31041, 72601
2.5, 37438, 12198, 13693, 225, 0, 4468, 31041, 72601
3.28, 27808, 5165, 5790, 4892, 0, 6063, 16936, 88021
2.59, 65800, 17987, 19358, 2318, 54, 3624, 47148, 07003
2.06, 56670, 5349, 5597, 142, 0, 2308, 12584, 94709
2.71, 99795, 9614, 10003, 442, 0, 810, 26225, 07675
2.67, 45946, 10441, 11952, 297, 0, 4312, 28469, 29461
2.92, 89818, 4311, 4573, 240, 0, 454, 12604, 22553
2.67, 45946, 10441, 11952, 297, 0, 4312, 28469, 29461
2.37, 48231, 13053, 14274, 225, 0, 4781, 31168, 22980
2.42, 37970, 5933, 6872, 139, 0, 3673, 14694, 25401
2.67, 45946, 10441, 11952, 297, 0, 4312, 28469, 29461
2.18, 33066, 8053, 8608, 341, 30, 7192, 22873, 94704
2.67, 45946, 10441, 11952, 297, 0, 4312, 28469, 29461
2.66, 50453, 23996, 26607, 6656, 26, 9801, 63801, 30096
2.52, 36257, 5658, 6300, 443, 0, 2274, 14330, 63134
2.67, 45946, 10441, 11952, 297, 0, 4312, 28469, 29461
2.31, 73144, 17138, 20127, 998, 0, 3356, 45450, 23185
2.45, 40409, 5168, 6784, 3, 0, 1451, 12782, 25411
2.18, 33066, 8053, 8608, 341, 30, 7192, 22873, 94704
2.69, 41538, 20123, 23972, 2448, 0, 9995, 54428, 07111
2.64, 72050, 7575, 8652, 177, 0, 895, 20214, 08721
2.29, 43672, 16456, 18487, 56, 0, 6133, 38120, 15068
2.73, 41953, 10434, 12093, 1647, 68, 5265, 28780, 33823
3.21, 81094, 1970, 1986, 40, 0, 322, 6336, 02779
2.73, 41953, 10434, 12093, 1647, 68, 5265, 28780, 33823
2.24, 67217, 6704, 7060, 53, 0, 973, 15037, 48072
2.8, 47426, 23617, 27499, 9523, 45, 11879, 66804, 89108
3.21, 81094, 1970, 1986, 40, 0, 322, 6336, 02779
2.64, 74864, 6084, 6292, 420, 0, 504, 16297, 07646
3.01, 29492, 2459, 2823, 0, 0, 1985, 7393, 23523
3.1, 69593, 19198, 20533, 4806, 90, 7004, 59694, 30047
3.1, 69593, 19198, 20533, 4806, 90, 7004, 59694, 30047
2.62, 63598, 12724, 13319, 1392, 0, 2700, 33574, 75081
2.66, 60072, 1708, 1741, 27, 0, 153, 4548, 19547
2.7, 61194, 2149, 2210, 187, 0, 346, 7714, 19533
2.23, 39234, 3896, 4227, 44, 0, 956, 8706, 01220
2.55, 51508, 17805, 22194, 4695, 402, 8708, 45912, 21224
3.64, 60393, 11596, 12320, 4864, 37, 5598, 42406, 93313
2.81, 50625, 8414, 9126, 4837, 2, 3356, 25526, 33406
2.52, 37618, 1337, 1589, 10, 0, 551, 3433, 05476
2.71, 55568, 2192, 2341, 4, 0, 726, 6026, 44021
2.4, 75859, 415, 760, 0, 0, 46, 1253, 12029
2.57, 109088, 5627, 5875, 58, 0, 286, 14593, 48025
2.29, 61250, 451, 504, 0, 0, 153, 1100, 01026
2.48, 36802, 2145, 2301, 17, 0, 588, 5454, 15530
2.48, 36802, 2145, 2301, 17, 0, 588, 5454, 15530
2.48, 36802, 2145, 2301, 17, 0, 588, 5454, 15530
2.68, 72857, 4630, 4831, 114, 56, 959, 12520, 08009
2.13, 59757, 5250, 5627, 0, 14, 854, 11532, 05602
4, 49180, 120, 120, 0, 0, 0, 480, 44610
2.21, 54583, 420, 507, 0, 0, 67, 929, 12022
2.8, 61108, 932, 1084, 20, 0, 144, 2606, 44814
2.42, 48095, 3624, 4052, 227, 0, 853, 8862, 54923
2.64, 86202, 7028, 7336, 123, 0, 1240, 18621, 06037
2.57, 64375, 28, 44, 0, 0, 0, 72, 12040
2.29, 63965, 9191, 14485, 428, 7, 1320, 21286, 21811
2.08, 38107, 4457, 5090, 22, 9, 1479, 10126, 03570
2.72, 40521, 1220, 1507, 0, 0, 462, 3314, 24870
2.73, 94712, 1029, 1049, 12, 0, 44, 2819, 01503
2.42, 48095, 3624, 4052, 227, 0, 853, 8862, 54923
2.57, 64375, 28, 44, 0, 0, 0, 72, 12040
2.08, 38107, 4457, 5090, 22, 9, 1479, 10126, 03570
2.8, 61108, 932, 1084, 20, 0, 144, 2606, 44814
3.63, 52115, 14508, 15572, 13471, 240, 11041, 53055, 91764
2.36, 33618, 11126, 12937, 68, 0, 6351, 26778, 63121
2.61, 56355, 1633, 1718, 216, 0, 227, 4284, 17372
2.61, 56355, 1633, 1718, 216, 0, 227, 4284, 17372
2.61, 56355, 1633, 1718, 216, 0, 227, 4284, 17372
2.46, 47955, 226, 256, 2, 0, 36, 556, 66408
2.46, 47955, 226, 256, 2, 0, 36, 556, 66408
2.93, 50770, 11216, 12357, 4909, 0, 4947, 33400, 67846
3.25, 113584, 3068, 3142, 537, 0, 602, 10031, 95119
2.86, 42532, 3586, 3980, 1122, 0, 2260, 10555, 87004
2.86, 42532, 3586, 3980, 1122, 0, 2260, 10555, 87004
3.46, 43320, 15730, 17171, 9472, 24, 13124, 54433, 85041
2.57, 79103, 8021, 8735, 133, 0, 908, 20666, 64086
2.32, 43417, 534, 786, 2, 0, 80, 1238, 52032
2.83, 67973, 17808, 18478, 2157, 36, 3711, 50712, 78247
3.31, 72652, 16265, 17406, 5771, 31, 4336, 54044, 60440
3.29, 54982, 3342, 3859, 1056, 11, 1237, 11004, 95357
2.38, 24989, 2179, 2881, 107, 0, 1686, 5187, 62060
2.52, 69701, 20883, 21842, 409, 0, 1387, 52970, 63129
2.16, 36283, 12663, 14197, 472, 0, 5735, 28301, 70806
2.41, 46449, 11739, 12712, 829, 13, 3390, 29190, 61108
2.9, 35837, 1835, 2431, 1170, 0, 1169, 6134, 78384
2.9, 75304, 6911, 7301, 1343, 18, 2251, 20170, 92029
2.43, 89657, 19622, 21146, 375, 0, 1579, 47934, 92128
2.94, 105448, 15389, 15697, 907, 0, 1604, 45398, 92886
2.93, 122153, 2579, 2767, 687, 0, 142, 7557, 07924
2.31, 55556, 1112, 1160, 0, 0, 133, 2569, 01337
2.93, 122153, 2579, 2767, 687, 0, 142, 7557, 07924
2.84, 27941, 6716, 8164, 52, 0, 6050, 19592, 31217
2.33, 56696, 1009, 1158, 0, 0, 293, 2355, 43155
2.33, 56696, 1009, 1158, 0, 0, 293, 2355, 43155
2.33, 56696, 1009, 1158, 0, 0, 293, 2355, 43155
2.43, 60893, 914, 1115, 0, 0, 118, 2219, 12023
2.43, 60893, 914, 1115, 0, 0, 118, 2219, 12023
2.98, 104216, 18268, 19192, 1016, 100, 1608, 54699, 11758
2.42, 46544, 15254, 16423, 2680, 0, 7545, 40856, 99362
3.37, 37104, 2692, 3170, 2089, 0, 2579, 9101, 93620
2.66, 50917, 12099, 12811, 99, 0, 3743, 32348, 40165
2.4, 90893, 2549, 2794, 16, 4, 579, 10395, 03755
2.92, 118183, 9522, 10053, 459, 0, 1903, 27922, 92673
2.75, 26771, 1335, 1886, 164, 0, 1461, 3728, 71222
2.65, 69303, 17126, 18266, 399, 0, 4130, 45694, 36695
2.63, 31502, 8994, 10605, 3450, 0, 6738, 24088, 89512
2.66, 42373, 23544, 25427, 763, 0, 12166, 63332, 48180
2.82, 55120, 12237, 13374, 2492, 10, 4326, 35038, 72762
2.53, 45364, 1206, 1410, 15, 0, 426, 3049, 63822
2.53, 45364, 1206, 1410, 15, 0, 426, 3049, 63822
2.7, 54057, 1099, 1240, 12, 0, 170, 2971, 74330
2.43, 39329, 16659, 18903, 836, 0, 9005, 41476, 02895
2.41, 42891, 10082, 11230, 1319, 0, 4035, 25362, 88201
2.41, 42891, 10082, 11230, 1319, 0, 4035, 25362, 88201
2.46, 37445, 11509, 12571, 1253, 18, 6815, 29057, 96080
2.34, 38898, 13689, 15352, 125, 0, 5623, 33698, 62301
2.49, 32167, 4018, 4802, 100, 0, 2122, 10227, 31639
2.75, 55066, 469, 517, 18, 0, 88, 1455, 49102
2.49, 32167, 4018, 4802, 100, 0, 2122, 10227, 31639
2.49, 32167, 4018, 4802, 100, 0, 2122, 10227, 31639
2.49, 32167, 4018, 4802, 100, 0, 2122, 10227, 31639
2.49, 32167, 4018, 4802, 100, 0, 2122, 10227, 31639
2.47, 47240, 4049, 4730, 274, 0, 2069, 11239, 49103
2.47, 47240, 4049, 4730, 274, 0, 2069, 11239, 49103
2.47, 47240, 4049, 4730, 274, 0, 2069, 11239, 49103
2.47, 47240, 4049, 4730, 274, 0, 2069, 11239, 49103
2.47, 47240, 4049, 4730, 274, 0, 2069, 11239, 49103
2.42, 48365, 740, 879, 19, 0, 205, 1817, 62823
2.22, 34479, 618, 945, 11, 0, 251, 1370, 95916
2.79, 79179, 3220, 4965, 1209, 0, 907, 8985, 81632
3.11, 32136, 16616, 19697, 14267, 137, 15585, 52501, 76010
3.67, 32222, 11436, 13653, 12665, 88, 13257, 42323, 77093
2.49, 33427, 1534, 1726, 11, 0, 651, 3818, 35546
2.66, 62350, 15522, 16178, 816, 0, 2777, 41564, 54915
2.89, 102749, 10323, 10798, 315, 14, 1236, 29861, 20603
2.49, 33427, 1534, 1726, 11, 0, 651, 3818, 35546
3.14, 138852, 8069, 8329, 225, 0, 620, 25816, 11791
2.71, 68606, 12091, 12929, 465, 7, 2563, 37639, 45036
3.47, 83182, 7497, 7861, 2052, 0, 3175, 25987, 75181
2.48, 93039, 19462, 21466, 601, 74, 1836, 48321, 35242
2.91, 93744, 22588, 24680, 1866, 0, 3299, 65756, 77584
2.66, 44682, 4497, 4772, 264, 0, 1266, 11974, 29334
3.38, 91625, 12027, 12170, 1212, 0, 3955, 40779, 95132
2.5, 44227, 10909, 12578, 220, 0, 4008, 27884, 32570
2.59, 29634, 13146, 15719, 1465, 8, 9404, 34533, 28208
2.5, 44227, 10909, 12578, 220, 0, 4008, 27884, 32570
2.46, 33918, 8146, 9051, 235, 29, 4786, 20137, 74107
2.46, 33918, 8146, 9051, 235, 29, 4786, 20137, 74107
2.46, 33918, 8146, 9051, 235, 29, 4786, 20137, 74107
2.44, 70645, 1268, 1288, 29, 0, 132, 3088, 66409
2.45, 36169, 4088, 4550, 650, 0, 1546, 10158, 72616
2.45, 36169, 4088, 4550, 650, 0, 1546, 10158, 72616
2.45, 36169, 4088, 4550, 650, 0, 1546, 10158, 72616
2.45, 36169, 4088, 4550, 650, 0, 1546, 10158, 72616
4.55, 49842, 21365, 22632, 35946, 328, 18949, 97523, 91331
2.35, 43773, 1569, 1917, 87, 0, 591, 3696, 49064
2.52, 68435, 14824, 15476, 749, 0, 2641, 37857, 60477
2.63, 75102, 17437, 18247, 1275, 7, 3160, 46402, 90503
2.39, 49222, 1698, 1955, 2, 0, 524, 4139, 56241
3.75, 32878, 14410, 16785, 15210, 51, 18337, 54169, 78586
2.55, 45861, 10956, 12485, 383, 16, 4909, 28787, 30240
2.45, 54121, 9520, 10055, 328, 0, 2699, 23493, 68005
2.48, 35972, 560, 598, 4, 0, 264, 1388, 56437
2.2, 48734, 3157, 3407, 11, 0, 681, 7161, 50511
2.42, 43348, 3495, 4121, 0, 0, 1501, 8597, 48429
2.55, 51959, 14882, 16781, 278, 0, 5103, 44823, 49201
2.8, 47426, 23617, 27499, 9523, 45, 11879, 66804, 89108
2.48, 35972, 560, 598, 4, 0, 264, 1388, 56437
2.84, 75691, 374, 454, 0, 0, 42, 1062, 58718
2.84, 75691, 374, 454, 0, 0, 42, 1062, 58718
2.62, 81750, 3952, 4190, 215, 21, 661, 10383, 80513
2.62, 81750, 3952, 4190, 215, 21, 661, 10383, 80513
2.44, 31084, 3818, 4577, 87, 0, 2548, 10252, 27983
2.44, 31084, 3818, 4577, 87, 0, 2548, 10252, 27983
2.44, 31084, 3818, 4577, 87, 0, 2548, 10252, 27983
2.44, 31084, 3818, 4577, 87, 0, 2548, 10252, 27983
2.44, 31084, 3818, 4577, 87, 0, 2548, 10252, 27983
2.7, 36514, 9182, 11598, 1473, 7, 5756, 25107, 66104
2.69, 44898, 1820, 1965, 351, 0, 752, 4971, 78605
2.64, 74864, 6084, 6292, 420, 0, 504, 16297, 07646
3.3, 53842, 22485, 23996, 14760, 188, 10410, 75267, 91335
2.73, 48309, 463, 519, 34, 0, 105, 1282, 68927
2.73, 48309, 463, 519, 34, 0, 105, 1282, 68927
2.36, 55238, 10927, 12312, 326, 0, 3844, 27449, 43209
2.36, 39081, 7944, 8648, 90, 0, 2562, 19018, 18603
2.36, 39081, 7944, 8648, 90, 0, 2562, 19018, 18603
2.66, 49470, 1824, 1974, 327, 0, 997, 4866, 70342
2.66, 49470, 1824, 1974, 327, 0, 997, 4866, 70342
2.67, 65686, 9000, 9884, 1214, 6, 5713, 27772, 20740
2.07, 92577, 16607, 17956, 858, 0, 1594, 34382, 90277
2.63, 34506, 6378, 7421, 1156, 53, 4056, 17124, 71801
3.09, 93898, 23122, 23921, 5409, 130, 4127, 71661, 93065
2.81, 77177, 8444, 9334, 88, 9, 1755, 24754, 99645
2.47, 64666, 17951, 19040, 1397, 8, 3624, 44758, 55337
2.71, 76707, 10647, 11510, 495, 0, 1552, 28962, 77566
3.19, 121145, 22797, 24252, 1032, 20, 3322, 73498, 77479
2.42, 42885, 432, 789, 0, 0, 214, 1048, 99119
2.57, 38427, 8355, 9255, 592, 63, 4643, 24605, 95531
2.86, 62844, 7578, 8354, 619, 0, 2425, 21704, 76036
2.34, 54906, 19111, 20966, 981, 36, 5130, 46325, 37421
2.62, 40537, 5321, 6026, 50, 0, 2169, 14104, 64870
2.61, 36620, 5119, 5734, 0, 0, 2133, 13368, 28016
2.61, 36620, 5119, 5734, 0, 0, 2133, 13368, 28016
2.61, 36620, 5119, 5734, 0, 0, 2133, 13368, 28016
2.61, 36620, 5119, 5734, 0, 0, 2133, 13368, 28016
2.46, 58929, 7354, 8276, 221, 0, 1693, 18276, 35022
2.42, 30299, 17836, 20432, 2112, 0, 10565, 43400, 27405
2.35, 30308, 10570, 12246, 1231, 0, 6614, 25472, 81004
2.18, 36996, 10182, 11991, 45, 0, 4052, 22695, 49707
2.56, 76325, 10673, 12926, 371, 0, 1783, 27355, 34990
2.5, 61167, 7207, 7546, 225, 0, 1053, 18745, 54937
2.57, 53402, 4656, 5227, 131, 0, 936, 12114, 49348
2.72, 139856, 1311, 1372, 24, 0, 147, 4831, 01984
