State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Total Students,Total Rate,Native American Count,Native American Rate,Asian/Pacific Islander Count,Asian/Pacific Islander Rate,Black Count,Black Rate,Hispanic Count,Hispanic Rate,Two or More Count,Two or More Rate,White Count,White Rate,Disabilities Count,Disabilities Rate,Economically Disadvantaged Count,Economically Disadvantaged Rate,Limited English Count,Limited English Rate
IOWA,19,1906540,Cedar Rapids Comm School District,190654000250,John F Kennedy High School,413,96,1,PS,14,GE50,28,GE80,6,GE50,,.,364,97,44,GE90,71,90-94,,.
IOWA,19,1906540,Cedar Rapids Comm School District,190654000241,George Washington High School,307,92,1,PS,9,GE50,70,85-89,9,GE50,1,PS,217,GE95,45,80-89,122,85-89,15,GE50
IOWA,19,1906540,Cedar Rapids Comm School District,190654000259,Metro High School,101,25-29,,.,2,PS,11,LT50,3,PS,4,PS,81,30-34,31,30-39,76,25-29,,.
IOWA,19,1906660,Center Point-Urbana Comm School District,190666000272,Center Point-Urbana High School,102,90-94,,.,2,PS,1,PS,3,PS,,.,96,90-94,7,GE50,14,GE50,,.
IOWA,19,1906750,Centerville Comm School District,190675000275,Centerville High School,115,80-84,,.,,.,4,PS,4,PS,,.,107,85-89,22,60-79,52,70-79,,.
IOWA,19,1906780,Central City Comm School District,190678000285,Central City High School,31,GE90,,.,,.,1,PS,,.,,.,30,GE80,6,GE50,10,GE50,,.
IOWA,19,1906810,Central Clinton Comm School District,190681000286,Central High School,145,90-94,1,PS,2,PS,1,PS,2,PS,2,PS,137,90-94,19,60-79,28,60-79,,.
IOWA,19,1906810,Central Clinton Comm School District,190681000903,Central Alternative Program,2,PS,,.,,.,,.,,.,,.,2,PS,,.,2,PS,,.
IOWA,19,1906840,Central Comm School District,190684000292,Central Community Jr-Sr High School,39,GE90,,.,1,PS,,.,,.,,.,38,GE90,8,GE50,18,GE80,,.
IOWA,19,1906900,Central Decatur Comm School District,190690000297,Central Decatur MS/Sr High School,52,GE90,,.,1,PS,,.,2,PS,1,PS,48,GE90,15,GE50,31,GE90,,.
IOWA,19,1906930,Central Lee Comm School District,190693000302,Central Lee High School,84,90-94,1,PS,,.,,.,,.,,.,83,90-94,12,GE50,34,GE90,,.
IOWA,19,1906960,Central Lyon Comm School District,190696000308,Central Lyon Senior High School,45,GE90,,.,,.,,.,1,PS,2,PS,42,GE90,7,GE50,16,GE80,,.
