NCES ID,Free Lunch,Reduced Lunch,,,,
192958001686,40,27,,,,
192958001687,63,42,,,,
192958001511, , ,,,,
191035000661,89,41,,,,
191035000659,37,23,,,,
191722002092,72,11,,,,
190495000667,98,53,,,,
190495000151,39,18,,,,
190495000668,117,51,,,,
191050000669,86,57,,,,
191050000670,70,36,,,,
190822000416,248,54,,,,
193048001715,329,62,,,,
190897000529,171,5,,,,
192034001326,5,1,,,,
192094001252,72,24,,,,
190354000052,86,7,,,,
190858000462,119,25,,,,
190948000605,110,47,,,,
192211001315,39,11,,,,
190681000288,148,70,,,,
191069001912,123,31,,,,
191069002048,99,19,,,,
190948000976,171,87,,,,
191470001030,69,17,,,,
191071002143, , ,,,,
191071000674,17,9,,,,
193048001560,53,9,,,,
190684000293,52,35,,,,
191323000795,41,17,,,,
191428000851,21,8,,,,
191464000870,125,26,,,,
191869001074,56,21,,,,
192640001506,132,19,,,,
192061002131,62,17,,,,
191095000675,47,23,,,,
191095000676,57,26,,,,
191098000680,84,13,,,,
191098000679,57,18,,,,
193135001829,82,26,,,,
191470000885,64,14,,,,
190654000237,93,25,,,,
192628001606,0,0,,,,
191104000682,33,16,,,,
191104000683,23,8,,,,
191107000685,96,44,,,,
191107000686,138,57,,,,
192211001316,477,94,,,,
191722001005,129,33,,,,
191125002142, , ,,,,
193048002126,219,15,,,,
191182001980,230,58,,,,
192976001693,41,13,,,,
191134000693,176,32,,,,
191134000694,152,60,,,,
193093001792,99,31,,,,
190633000217,177,46,,,,
191320000791,74,29,,,,
192691001577,99,34,,,,
193135001830,104,62,,,,
191152000702,30,11,,,,
191182000723,112,14,,,,
190354000053,36,15,,,,
190858000463,228,28,,,,
190897000531,235,23,,,,
191872001086,173,36,,,,
190861000959,0,0,,,,
191179001281,7,0,,,,
191179000715,102,23,,,,
191179000716,87,21,,,,
191179000717,99,9,,,,
191182000724,429,106,,,,
191185001957,0,0,,,,
191185000733,0,0,,,,
191185000734,196,39,,,,
192682001569,87,23,,,,
191869000437,72,22,,,,
190858000464,351,36,,,,
191872000372,194,38,,,,
192013001184,182,16,,,,
191653000985,52,21,,,,
190822000418,257,50,,,,
190513000159,149,45,,,,
190654000239,204,40,,,,
191197000741,31,13,,,,
191206000743,66,12,,,,
191212000747,71,18,,,,
191212000745,66,22,,,,
190948000607,202,34,,,,
190513002056,21,2,,,,
191223001959,27,14,,,,
191223001960,45,19,,,,
191223002122,23,7,,,,
190735000342,132,40,,,,
190858000465,255,38,,,,
190654000240,133,22,,,,
190675000278,38,6,,,,
191233000752,109,20,,,,
191233000753,32,22,,,,
191233000754,45,16,,,,
190897000534,408,51,,,,
190897002128,17,6,,,,
191248000757,41,5,,,,
193048001725,383,46,,,,
191563000936,130,30,,,,
190654000241,439,76,,,,
190948000620,223,44,,,,
191248001011,30,12,,,,
191248000758,22,18,,,,
190822000419,400,93,,,,
191251000759,25,17,,,,
191251000760,16,6,,,,
191251001471,19,17,,,,
191260000762,37,9,,,,
191260000210,34,7,,,,
191266001401,7,6,,,,
191266001402,25,21,,,,
191266002014,17,17,,,,
191269000766,127,39,,,,
191269000767,147,43,,,,
191275000771,45,15,,,,
191275000772,39,11,,,,
190006000182,66,27,,,,
190006000179,47,15,,,,
191584000524,9,2,,,,
190897000535,308,98,,,,
191281002120,25,14,,,,
191281000776,22,12,,,,
191281002118,17,10,,,,
199901900777,47,6,,,,
191020000651,77,12,,,,
190327000019,61,18,,,,
190654002044,122,12,,,,
192013001186,93,19,,,,
191470000886,281,42,,,,
190654000243,141,25,,,,
190486000144,83,23,,,,
190345000784, , ,,,,
193054000832,6,2,,,,
190897000538,211,22,,,,
191320000793,149,53,,,,
191320000792,124,46,,,,
191323000796,78,30,,,,
191329000799,59,37,,,,
191329000801,33,12,,,,
191329000415,30,14,,,,
191332000803,71,39,,,,
191332000804,48,15,,,,
191332000805,32,9,,,,
191338001993,41,20,,,,
191338000808,23,14,,,,
193063000990,9,1,,,,
191347000813,122,29,,,,
191347000814,177,46,,,,
190897000539,83,15,,,,
191878001102,217,30,,,,
190897000540,432,56,,,,
190654000244,214,63,,,,
191350000826,83,27,,,,
191350000825,119,38,,,,
191350000821,79,28,,,,
191350000822,75,33,,,,
191989001169,97,20,,,,
191353000827,87,42,,,,
191353000828,56,23,,,,
191614000966,39,29,,,,
191614000967,15,29,,,,
190654000245,183,43,,,,
190858000469,168,57,,,,
190858001881,212,34,,,,
190627000216,56,19,,,,
191366001962,88,32,,,,
191366001963,32,9,,,,
191366002065,61,22,,,,
193129001819,81,35,,,,
190000601231,34,16,,,,
191563000930,182,39,,,,
190858000470,214,39,,,,
190651000223,68,7,,,,
191470000887,78,21,,,,
190948000608,350,118,,,,
191545002018,78,23,,,,
191470000889,71,19,,,,
190486000145,64,37,,,,
190897000516,451,62,,,,
190654000247,211,35,,,,
190831000184,5,0,,,,
193048001970,393,46,,,,
191401000839,35,12,,,,
191401000840,27,10,,,,
190897000541,222,48,,,,
191470000890,62,9,,,,
193093001188,261,59,,,,
191416000843,36,21,,,,
191416000844,16,7,,,,
191416000845,18,14,,,,
190651000224,79,27,,,,
190654000248,242,23,,,,
190822000422,119,25,,,,
190948000609,56,18,,,,
191878001103,177,49,,,,
193075001771,69,26,,,,
190897000543,604,92,,,,
193048001723,268,120,,,,
192311002164, , ,,,,
192211001319,77,16,,,,
191470000891,122,14,,,,
191545000653,68,26,,,,
191884001114,43,19,,,,
190675000279,84,21,,,,
190897000544,222,44,,,,
192166001293,58,25,,,,
190897000545,412,69,,,,
191431002038,58,28,,,,
190897000546,135,29,,,,
191434000856,45,25,,,,
191434000857,39,8,,,,
191434000429,34,7,,,,
191437000859,68,26,,,,
191437000860,78,15,,,,
192640001513,227,25,,,,
191488001050, , ,,,,
191488000912,49,19,,,,
191458000866,82,42,,,,
191722001003,21,9,,,,
193093001793,113,28,,,,
191464000872,170,69,,,,
191464000875,153,68,,,,
191653001101,4,0,,,,
192400001395,188,29,,,,
191467000880,70,31,,,,
191467000877,43,24,,,,
191467000878,62,33,,,,
199901901259,0,0,,,,
191470000892,354,76,,,,
191473000904,86,35,,,,
191485000909,84,21,,,,
191485000910,67,31,,,,
193129001820,43,22,,,,
193048001724,346,27,,,,
191464000874,58,25,,,,
192640001514,586,50,,,,
190948000610,143,60,,,,
192640002080,12,6,,,,
191488000911,43,12,,,,
190858000472,227,28,,,,
191872001089,223,35,,,,
190858000473,205,19,,,,
190897000547,296,23,,,,
190654000213,75,17,,,,
192211001320,157,9,,,,
190579000186,206,32,,,,
191470001034,77,21,,,,
190579000187,243,38,,,,
191518000913,29,12,,,,
191518000914,19,8,,,,
191878001104,114,30,,,,
192013001187,258,25,,,,
190897000548,59,17,,,,
190858000474,350,24,,,,
190771000378,250,31,,,,
192247000116,71,35,,,,
191521000076,175,73,,,,
191521000918,102,28,,,,
191521000919,122,31,,,,
192868001655,67,13,,,,
191533000923,55,12,,,,
191533000924,42,9,,,,
191533002051,45,10,,,,
191878001105,201,67,,,,
190873000500,71,27,,,,
190654000250,297,78,,,,
192094001253,67,18,,,,
190948000613,79,27,,,,
192334001378,66,19,,,,
192691001579,137,40,,,,
190654000251,187,7,,,,
191854001066,30,17,,,,
191545000926,109,43,,,,
191545000927,156,35,,,,
193093000168,35,10,,,,
192640001515,129,44,,,,
191914001130,45,19,,,,
192868001656,74,16,,,,
190354000054,102,16,,,,
191041000663,20,13,,,,
190327000021,46,5,,,,
190654000252,126,37,,,,
191563000932,298,69,,,,
191563000933,233,59,,,,
191566000938,55,7,,,,
191566000939,21,7,,,,
190483000139,25,13,,,,
190858002009,175,17,,,,
190897000556,305,16,,,,
191575000940,24,10,,,,
193048001727,161,58,,,,
191575000941,19,8,,,,
192637001495,124,39,,,,
191470000893,174,24,,,,
193048001728,246,54,,,,
191653000987,67,27,,,,
191584000948,175,52,,,,
191584000949,122,43,,,,
190002200956,73,33,,,,
191611000963,81,27,,,,
191611000964,40,6,,,,
191611000965,22,15,,,,
192658001542,24,11,,,,
190675000280,103,25,,,,
192124001273,92,28,,,,
193090001782,132,48,,,,
191632000974,110,38,,,,
191632000975,38,10,,,,
191632002019,24,9,,,,
191041000665,27,17,,,,
193111001815,81,19,,,,
191642000977,73,5,,,,
191642000978,29,6,,,,
191642000979,30,5,,,,
191545000532,77,29,,,,
191644000981,32,37,,,,
191653000988,61,58,,,,
191653000984,86,42,,,,
192640001934,305,53,,,,
191872001404,427,70,,,,
191662000991,107,29,,,,
191662000992,71,16,,,,
190822000424,79,31,,,,
191668000997,226,71,,,,
191668000996,223,82,,,,
191323000798,48,14,,,,
192640002165, , ,,,,
191134000695,18,9,,,,
191428000852,50,9,,,,
190858000476,215,17,,,,
190327000018,102,51,,,,
190675000281,40,9,,,,
190708000323,139,18,,,,
190513000161,56,15,,,,
190651000226,116,24,,,,
191185000736,163,20,,,,
190948000614,194,22,,,,
191470000894,8,7,,,,
191989001170,108,20,,,,
192640001517,56,22,,,,
192691001580,162,31,,,,
192247001348,30,11,,,,
192184001301,72,32,,,,
193048001729,355,48,,,,
190897000550,1,104,,,,
191878002115,236,68,,,,
193024001702,152,45,,,,
191722001525,106,30,,,,
191722001004,171,55,,,,
191725001008,40,25,,,,
191725001009,12,20,,,,
191725001981,14,7,,,,
192163000706,131,11,,,,
191248001010,25,10,,,,
190717000888,4,1,,,,
191746001013,87,37,,,,
191746001014,69,28,,,,
191755001018,62,14,,,,
191755001019,36,18,,,,
191470000895,49,16,,,,
192640001518,145,43,,,,
190822000425,303,38,,,,
190462000127,103,25,,,,
193048001165,222,56,,,,
191782001023,163,49,,,,
191782001025,100,20,,,,
191782002106,48,13,,,,
190897000552,227,38,,,,
193048001731,296,36,,,,
190336000033,45,16,,,,
191788001026,33,19,,,,
191803001964,26,21,,,,
191803001031,18,10,,,,
191803001994,19,4,,,,
190771000382,131,30,,,,
190897000554,251,39,,,,
190858000477,304,27,,,,
190654000253,113,17,,,,
192013001189,137,17,,,,
192247001508,82,17,,,,
191818001039,92,21,,,,
191818001040,31,7,,,,
191818001041,20,4,,,,
193072001042,19,10,,,,
191488001049, , ,,,,
191833001052,74,34,,,,
191833001053,68,14,,,,
193051001503,92,36,,,,
191848001057,67,44,,,,
191848001059,83,37,,,,
191851001062,159,65,,,,
191851001063,126,51,,,,
191854000725,48,14,,,,
191854001067,44,35,,,,
191863001072,32,21,,,,
191863001127,17,14,,,,
191863001073,33,15,,,,
193054001745,36,10,,,,
191869001075,122,47,,,,
191869002098,0,0,,,,
191470000896,169,22,,,,
190486000149,94,51,,,,
191344000812,92,14,,,,
190948000615,116,43,,,,
191872001091,715,107,,,,
191875001096,53,11,,,,
191875001097,40,15,,,,
193168000611,87,24,,,,
191878001107,275,94,,,,
193087001778,59,16,,,,
192211002034,41,7,,,,
190897000557,367,68,,,,
191812001484,44,18,,,,
190897002108,111,11,,,,
190897000559,265,45,,,,
190858000479,177,35,,,,
192013001190,128,24,,,,
190654000254,252,47,,,,
191893001117,78,35,,,,
191893001118,50,26,,,,
190354000056,100,27,,,,
191896001121,65,14,,,,
