State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Student Count,Percent Proficient - All,Count - Native American,Percent Proficient - Native American,Count - Asian/Pacific Islander,Percent Proficient - Asian/Pacific Islander,Count-Black,Percent Proficient - Black,Count - Hispanic,Percent Proficient - Hispanic,Count - Two or More Races,Percent Proficient - Two or More Races,Count - White,Percent Proficient - White,Count - Female,Percent Proficient - Female,Count - Male,Percent Proficient - Male,Count - Disabilities,Percent Proficient - Disabilities,Count - Economically Disadvantaged,Percent Proficient - Economically Disadvantaged,Count - Limited English,Percent Proficient - Limited English,Count - Homeless,Percent Proficient - Homeless,Count - Migrant Students,Percent Proficient - Migrant
IOWA,19,1927390,Storm Lake Comm School District,192739002107,Storm Lake Elementary,292,71,0,n/a,44,50-59,14,LT50,173,70-74,2,PS,59,80-89,144,70-74,148,65-69,26,LE20,228,65-69,204,65-69,0,n/a,47,60-69
IOWA,19,1927390,Storm Lake Comm School District,192739001601,Storm Lake High School,159,65-69,2,PS,16,21-39,9,LT50,73,50-54,1,PS,58,GE90,76,60-64,83,70-74,18,60-79,105,50-54,45,20-29,0,n/a,15,LT50
IOWA,19,1927390,Storm Lake Comm School District,192739001600,Storm Lake Middle School,562,61,0,n/a,76,45-49,28,40-59,311,54,8,GE50,139,80-84,288,55-59,274,65-69,52,30-39,419,54,262,30-34,0,n/a,83,35-39
IOWA,19,1903450,Allison-Bristow Comm School District,190345000042,Allison Elem. Building,35,80-89,0,n/a,2,PS,1,PS,1,PS,1,PS,30,GE80,15,GE50,20,GE80,11,GE50,13,GE50,0,n/a,0,n/a,0,n/a
IOWA,19,1903450,Allison-Bristow Comm School District,190345000043,North Butler Middle School,190,85-89,0,n/a,0,n/a,0,n/a,3,PS,2,PS,185,85-89,87,90-94,103,80-84,32,50-59,55,70-79,0,n/a,0,n/a,0,n/a
IOWA,19,1903750,Aplington-Parkersburg Comm School District,190375000082,Aplington / Parkersburg Middle School,195,70-74,0,n/a,0,n/a,3,PS,0,n/a,0,n/a,192,70-74,106,80-84,89,60-64,24,LE20,57,60-69,0,n/a,0,n/a,0,n/a
IOWA,19,1903750,Aplington-Parkersburg Comm School District,190375000081,Aplington Elementary School,103,80-84,0,n/a,0,n/a,1,PS,0,n/a,1,PS,101,80-84,51,80-89,52,70-79,5,PS,40,70-79,0,n/a,0,n/a,0,n/a
IOWA,19,1903750,Aplington-Parkersburg Comm School District,190375001337,Aplington Parkersburg High School,68,75-79,0,n/a,0,n/a,1,PS,1,PS,0,n/a,66,75-79,34,70-79,34,70-79,7,LT50,18,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1903750,Aplington-Parkersburg Comm School District,190375001336,Parkersburg Elementary School,82,75-79,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,82,75-79,37,80-89,45,70-79,8,LT50,30,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1907440,Clarksville Comm School District,190744000354,Clarksville Elementary School,74,70-74,0,n/a,0,n/a,0,n/a,1,PS,2,PS,71,65-69,36,80-89,38,60-69,18,LE20,24,40-59,1,PS,0,n/a,0,n/a
IOWA,19,1907440,Clarksville Comm School District,190744000355,Clarksville High School,96,65-69,0,n/a,1,PS,0,n/a,0,n/a,11,GE50,84,70-74,54,70-79,42,60-69,11,LT50,37,60-69,0,n/a,0,n/a,0,n/a
IOWA,19,1913080,Greene Comm School District,191308000784,Greene Elementary School,42,GE90,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,42,GE90,22,GE80,20,GE80,9,GE50,14,GE50,0,n/a,0,n/a,0,n/a
IOWA,19,1913080,Greene Comm School District,191308000785,North Butler High School,42,80-89,0,n/a,0,n/a,0,n/a,1,PS,1,PS,40,80-89,26,GE80,16,60-79,7,LT50,8,GE50,0,n/a,0,n/a,0,n/a
IOWA,19,1918330,Manson Northwest Webster Comm School District,191833001052,Manson Northwest Webster Elementary School-Barnum,168,75-79,0,n/a,1,PS,0,n/a,2,PS,1,PS,164,75-79,93,80-84,75,75-79,9,LT50,64,75-79,0,n/a,0,n/a,0,n/a
IOWA,19,1918330,Manson Northwest Webster Comm School District,191833001053,Manson Northwest Webster Junior High/High School,148,75-79,0,n/a,0,n/a,0,n/a,2,PS,1,PS,145,75-79,63,75-79,85,75-79,11,LT50,41,50-59,0,n/a,0,n/a,0,n/a
IOWA,19,1923220,Pomeroy-Palmer Comm School District,192322001375,Pomeroy Elementary School,172,75-79,2,PS,1,PS,1,PS,6,GE50,0,n/a,162,80-84,82,75-79,90,80-84,25,21-39,80,70-74,1,PS,0,n/a,0,n/a
IOWA,19,1924720,Rockwell City-Lytton Comm School District,192472001417,Rockwell City Elementary School,139,85-89,0,n/a,3,PS,2,PS,3,PS,3,PS,128,85-89,64,90-94,75,85-89,10,LT50,52,70-79,0,n/a,0,n/a,0,n/a
IOWA,19,1924720,Rockwell City-Lytton Comm School District,192472001418,Rockwell City-Lytton High School,87,80-84,0,n/a,1,PS,0,n/a,6,LT50,1,PS,79,80-84,44,80-89,43,70-79,7,LT50,28,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1900024,Southern Cal Comm School District,190002400098,Southern Cal Elementary School,126,75-79,1,PS,0,n/a,0,n/a,2,PS,5,PS,118,75-79,61,75-79,65,70-74,11,LT50,56,60-69,0,n/a,0,n/a,0,n/a
IOWA,19,1900024,Southern Cal Comm School District,190002400961,Southern Cal Jr-Sr High,111,60-64,0,n/a,0,n/a,0,n/a,5,PS,7,GE50,99,65-69,44,60-69,67,60-64,15,LT50,31,40-49,0,n/a,0,n/a,0,n/a
IOWA,19,1906330,Carroll Comm School District,190633000522,Adams Elementary School,243,88,0,n/a,2,PS,4,PS,13,GE50,2,PS,222,85-89,114,85-89,129,85-89,29,40-59,86,90-94,3,PS,0,n/a,2,PS
IOWA,19,1906330,Carroll Comm School District,190633000218,Carroll High School,150,85-89,0,n/a,1,PS,0,n/a,4,PS,1,PS,144,85-89,84,85-89,66,80-84,17,40-59,36,60-69,1,PS,0,n/a,0,n/a
IOWA,19,1906330,Carroll Comm School District,190633001989,Carroll Middle School,339,91,1,PS,1,PS,4,PS,11,GE50,1,PS,321,92,167,90-94,172,90-94,35,60-69,106,80-84,0,n/a,0,n/a,0,n/a
IOWA,19,1906330,Carroll Comm School District,190633000217,Fairview Elementary School,122,85-89,0,n/a,1,PS,4,PS,1,PS,1,PS,115,85-89,63,85-89,59,GE90,12,GE50,51,80-89,0,n/a,0,n/a,0,n/a
IOWA,19,1908070,Coon Rapids-Bayard Comm School District,190807000402,Coon Rapids-Bayard 4-12 Attendance Center,198,75-79,0,n/a,0,n/a,0,n/a,15,GE50,2,PS,181,75-79,99,80-84,99,75-79,45,40-49,112,70-74,3,PS,0,n/a,1,PS
