["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.67, 53487, 428, 490, 0, 0, 76, 1143, 50632
2.73, 47443, 143, 177, 0, 0, 48, 391, 50633
2.1, 39063, 339, 349, 0, 0, 47, 713, 50634
2.4, 58208, 743, 848, 11, 0, 71, 1828, 50635
2.36, 50313, 803, 963, 0, 0, 220, 1920, 50636
2.24, 52113, 1364, 1487, 15, 0, 242, 3135, 50638
2.83, 40885, 665, 736, 0, 0, 260, 1883, 50641
2.72, 58250, 241, 249, 0, 0, 36, 656, 50642
2.48, 67684, 1105, 1143, 21, 0, 56, 2736, 50643
2.32, 54944, 3460, 3786, 4, 0, 897, 8321, 50644
2.39, 43333, 438, 503, 0, 0, 131, 1047, 50645
2.44, 56389, 834, 862, 0, 0, 115, 2039, 50647
2.67, 57586, 1600, 1695, 7, 0, 266, 4282, 50648
2.49, 43000, 276, 360, 0, 0, 110, 688, 50650
2.51, 54578, 1505, 1635, 29, 0, 155, 3817, 50651
2.57, 41250, 53, 64, 0, 0, 18, 136, 50652
2.54, 56250, 268, 300, 0, 0, 28, 682, 50653
2.37, 42321, 219, 221, 0, 0, 44, 520, 50654
2.53, 44813, 329, 389, 0, 0, 58, 833, 50655
2.33, 41250, 1131, 1189, 6, 0, 339, 2634, 50658
2.25, 41455, 2434, 2538, 93, 57, 381, 5673, 50659
2.59, 60250, 536, 590, 0, 0, 55, 1386, 50660
2.24, 38538, 3169, 3550, 0, 0, 929, 7259, 50662
4.6, na, 10, 10, 0, 0, 46, 46, 50664
2.43, 51215, 1135, 1236, 21, 0, 225, 2756, 50665
2.49, 60250, 374, 388, 0, 3, 27, 930, 50666
2.63, 56000, 284, 301, 12, 0, 18, 746, 50667
2.68, 61389, 510, 521, 0, 0, 59, 1366, 50668
2.33, 61151, 1045, 1201, 5, 0, 144, 2469, 50669
2.27, 51125, 743, 773, 0, 0, 172, 1733, 50670
3.49, 58750, 114, 124, 0, 0, 21, 398, 50671
2.5, 61250, 252, 276, 25, 0, 86, 629, 50672
2.97, 54861, 71, 71, 2, 0, 5, 211, 50673
2.16, 50417, 1572, 1692, 1, 0, 214, 3460, 50674
2.39, 51000, 1058, 1105, 10, 0, 226, 2606, 50675
2.53, 56333, 898, 964, 5, 0, 210, 2302, 50676
2.46, 59690, 4305, 4552, 69, 12, 1057, 11954, 50677
2.21, 54464, 491, 513, 0, 0, 75, 1083, 50680
2.73, 49938, 193, 203, 0, 0, 26, 526, 50681
2.63, 63177, 674, 688, 0, 0, 135, 1775, 50682
2.26, 45759, 13095, 13984, 98, 0, 4303, 29924, 50701
2.27, 40401, 8511, 9084, 429, 7, 3171, 19680, 50702
2.48, 32173, 7740, 8743, 465, 0, 4727, 19896, 50703
2.56, 41963, 3342, 3453, 265, 0, 1580, 8551, 50707
2.23, 37566, 4048, 4425, 3, 0, 1697, 9276, 50801
2.43, 46488, 707, 764, 10, 0, 172, 1780, 50830
2.4, 44531, 961, 1091, 0, 15, 314, 2353, 50833
2.33, 37955, 36, 40, 0, 0, 10, 84, 50835
2.84, 40250, 122, 159, 0, 0, 28, 347, 50836
1.81, 43438, 167, 213, 0, 0, 28, 306, 50837
1.31, 37083, 13, 39, 0, 0, 0, 17, 50839
2.28, 40000, 232, 263, 7, 0, 104, 562, 50840
2.27, 42957, 1281, 1435, 22, 0, 290, 3037, 50841
2.07, 45000, 30, 35, 0, 0, 1, 62, 50842
2.41, 41250, 246, 268, 0, 0, 118, 593, 50843
2.92, 45588, 320, 358, 3, 0, 80, 948, 50845
2.25, 51484, 466, 544, 14, 0, 43, 1082, 50846
2.09, 37500, 22, 27, 0, 0, 4, 46, 50847
1.94, 40000, 140, 180, 7, 0, 47, 271, 50848
2.25, 46484, 1203, 1338, 13, 0, 325, 2731, 50849
2.22, 39974, 809, 939, 76, 0, 234, 1861, 50851
2.4, 50288, 305, 349, 0, 0, 86, 731, 50853
2.14, 45833, 980, 1075, 9, 3, 237, 2199, 50854
2.5, 49821, 107, 125, 0, 6, 62, 268, 50857
2.31, 50288, 317, 390, 2, 0, 81, 731, 50858
2.34, 48365, 247, 282, 0, 0, 67, 579, 50859
2.86, 37083, 177, 190, 0, 0, 198, 507, 50860
2.65, 55547, 139, 141, 0, 0, 10, 369, 50861
2.25, 31667, 72, 83, 0, 0, 50, 162, 50862
2.71, 53813, 119, 152, 2, 0, 18, 323, 50863
2.33, 39076, 995, 1089, 9, 0, 329, 2368, 50864
2.52, 51719, 929, 1050, 13, 0, 219, 2348, 51001
2.41, 51488, 1128, 1173, 138, 0, 165, 2728, 51002
2.69, 59531, 645, 677, 34, 0, 163, 1734, 51003
2.25, 45164, 557, 618, 13, 0, 94, 1253, 51004
2.53, 51875, 618, 650, 17, 0, 170, 1603, 51005
2.21, 37578, 503, 520, 0, 0, 192, 1146, 51006
2.63, 59219, 261, 268, 0, 0, 18, 687, 51007
