["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.25, 42941, 1828, 1890, 57, 0, 496, 4211, 52655
2.31, 57558, 928, 995, 0, 0, 91, 2183, 52656
2.25, 45000, 20, 20, 0, 0, 0, 45, 52657
2.51, 66484, 354, 416, 0, 0, 36, 888, 52658
3, 48571, 596, 680, 3, 0, 322, 1826, 52659
2.7, 38173, 53, 65, 0, 0, 0, 143, 52660
2.83, 60417, 41, 47, 0, 0, 1, 116, 52701
2.64, 52500, 396, 454, 26, 0, 106, 1067, 52720
2.5, 50500, 318, 386, 0, 0, 88, 794, 52721
2.48, 69577, 13858, 14471, 190, 0, 1946, 34462, 52722
2.51, 73650, 1539, 1609, 3, 0, 107, 3860, 52726
3.28, 82813, 174, 174, 0, 0, 0, 571, 52727
2.16, 45298, 375, 412, 4, 0, 27, 810, 52728
2.42, 56648, 315, 364, 6, 0, 31, 763, 52729
2.39, 51107, 2033, 2221, 0, 0, 426, 4860, 52730
2.39, 46667, 236, 269, 19, 0, 39, 613, 52731
2.4, 43240, 11649, 12809, 284, 24, 4284, 28621, 52732
2.23, 37917, 119, 127, 57, 0, 14, 265, 52737
2.85, 53015, 1205, 1357, 587, 0, 558, 3476, 52738
3.38, 55000, 290, 332, 117, 0, 227, 1065, 52739
2.45, 58814, 3075, 3199, 0, 0, 519, 7565, 52742
2.33, 42500, 212, 226, 3, 0, 89, 494, 52745
2.34, 65833, 428, 483, 0, 0, 64, 1002, 52746
2.35, 51688, 861, 889, 3, 0, 240, 2034, 52747
2.59, 65755, 3223, 3273, 29, 0, 408, 8365, 52748
3.25, 71528, 438, 442, 7, 0, 114, 1424, 52749
2.44, 68508, 225, 317, 0, 0, 0, 550, 52750
2.62, 49091, 386, 445, 0, 0, 75, 1010, 52751
2.8, 46607, 191, 199, 20, 0, 52, 535, 52752
2.45, 77366, 2121, 2235, 0, 0, 54, 5205, 52753
2.66, 54408, 517, 620, 0, 0, 23, 1375, 52754
2.51, 62891, 741, 804, 28, 0, 100, 1881, 52755
2.77, 76938, 878, 941, 0, 0, 87, 2442, 52756
2.01, 53750, 95, 104, 0, 0, 2, 191, 52757
2.56, 55278, 86, 86, 0, 0, 0, 220, 52758
2.31, 78403, 169, 169, 0, 0, 0, 390, 52760
2.5, 48869, 11979, 13162, 975, 43, 4623, 30328, 52761
2.87, 82813, 123, 123, 2, 0, 3, 353, 52765
2.69, 45375, 313, 367, 9, 0, 122, 843, 52766
2.18, 28929, 94, 129, 0, 0, 0, 248, 52767
2.34, 53491, 547, 557, 0, 0, 44, 1280, 52768
2.43, 62813, 351, 351, 0, 0, 73, 853, 52769
2.41, 52827, 2153, 2244, 33, 0, 529, 5294, 52772
2.4, 62529, 977, 1086, 0, 0, 89, 2347, 52773
3.04, 63125, 45, 45, 0, 0, 32, 137, 52774
2.85, 49750, 1582, 1627, 645, 0, 510, 4566, 52776
2.43, 52727, 558, 614, 0, 0, 110, 1394, 52777
2.46, 59745, 1611, 1769, 33, 0, 320, 3983, 52778
1.22, 12936, 713, 876, 14, 0, 381, 1233, 52801
2.54, 33002, 3944, 4353, 556, 0, 2286, 10156, 52802
2.37, 40418, 9337, 10669, 428, 0, 5127, 23020, 52803
2.45, 44302, 11002, 11679, 332, 0, 4040, 28006, 52804
2.41, 49888, 11038, 11804, 173, 0, 3907, 27019, 52806
2.15, 51612, 5984, 6453, 73, 0, 1823, 12904, 52807
