A0792029, Rural: Fringe (41), Montessori, N/A, 2.8, 14, 1.1, 0, 0, 0, 0, 3, 0, 11, 3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0792028, City: Small (13), Special Education, N/A, 16.3, 119, 7.3, 2, 1, 2, 14, 100, 0, N/A, N/A, 1, 3, 3, 5, 5, 8, 10, 15, 25, 17, 16, 11
A0701008, Town: Remote (33), Regular elementary or secondary, N/A, 11.1, 144, 10.2, 0, 1, 0, 0, 112, 0, 31, 15, 14, 15, 9, 15, 10, 15, 13, 7, N/A, N/A, N/A, N/A
A0701006, City: Small (13), Regular elementary or secondary, N/A, 31.5, 491, 15.6, 0, 2, 6, 1, 480, 2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 174, 157, 160, N/A, N/A, N/A, N/A
A0701002, Town: Distant (32), Regular elementary or secondary, N/A, 34.8, 440, 12.6, 0, 6, 19, 9, 406, 0, N/A, 63, 33, 31, 23, 34, 11, 31, 35, 36, 38, 39, 33, 33
A0701001, Rural: Remote (43), Regular elementary or secondary, N/A, 12.5, 138, 8.1, 0, 0, 0, 0, 101, 0, 37, 17, 14, 15, 6, 13, 9, 9, 10, N/A, N/A, 8, N/A, N/A
A0501666, City: Small (13), Regular elementary or secondary, N/A, 8.5, 46, 5.4, 0, 0, 2, 5, 39, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 9, 2, 5, 13, 4, 10, 3
A0501664, Town: Remote (33), Regular elementary or secondary, N/A, 38.0, 633, 15.3, 0, 0, 0, 12, 568, 0, 53, 87, 74, 61, 66, 58, 58, 63, 62, 51, N/A, N/A, N/A, N/A
A0501663, Rural: Distant (42), Regular elementary or secondary, N/A, 7.4, 100, 13.5, 0, 0, 0, 0, 100, 0, N/A, 33, 31, 36, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0501662, City: Small (13), Regular elementary or secondary, N/A, 17.4, 272, 15.6, 0, 7, 8, 0, 257, 0, N/A, 39, 50, 41, 50, 46, 46, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0501661, Town: Remote (33), Regular elementary or secondary, N/A, 16.3, 145, 8.9, 0, 11, 5, 1, 128, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 20, 16, 19, 20, 22, 18, 30
A0501659, City: Midsize (12), Regular elementary or secondary, N/A, 6.3, 20, 2.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 8, 8, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0501657, City: Small (13), Regular elementary or secondary, N/A, 9.9, 126, 11.5, 0, 0, 11, 0, 103, 0, 12, 11, 12, 7, 4, 12, 7, 5, 4, 6, 13, 10, 10, 13
A0501656, Rural: Distant (42), Alternative, N/A, 2.0, 47, 23.5, 0, 0, 0, 0, 46, 1, N/A, 1, 3, 6, 4, 1, 4, 4, 5, 1, 4, 6, 5, 3
A0501655, City: Small (13), Regular elementary or secondary, N/A, 3.6, 39, 10.8, 1, 1, 0, 1, 36, 0, N/A, 9, 10, 6, 5, 5, 4, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0301593, City: Midsize (12), Regular elementary or secondary, N/A, 8.5, 138, 5.6, 0, 3, 2, 0, 40, 3, 90, 11, 5, 9, 12, 8, 3, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0301588, City: Midsize (12), Regular elementary or secondary, N/A, 21.8, 432, 19.8, 0, 0, 4, 3, 425, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 140, 152, 140, N/A, N/A, N/A, N/A
A0301586, City: Small (13), Regular elementary or secondary, N/A, 28.0, 521, 15.7, 0, 24, 23, 7, 380, 6, 81, 59, 62, 50, 62, 79, 62, 66, N/A, N/A, N/A, N/A, N/A, N/A
A0301583, Town: Remote (33), Regular elementary or secondary, N/A, 5.6, 48, 8.6, 0, 0, 1, 0, 47, 0, N/A, 10, 4, 6, 5, 4, 7, 6, 4, 2, N/A, N/A, N/A, N/A
