school,latitude,longitude
ELDORA-NEWPROVIDENCEHIGHSCHOOL,44.5793656,-91.2202307
FAIRBANKELEMENTARYSCHOOL,33.4262076,-111.7916824
RURALELEMENTARYSCHOOL#1,42.6276197,-91.9836025
RURALELEMENTARYSCHOOL#2,30.4523965,31.1869263
GMGELEMENTARYSCHOOL,40.8447301,-73.863058
GMGSECONDARYSCHOOL,42.1011398,-71.0671849
NORTHBUTLERHIGHSCHOOL,28.8188502,-97.8527071
GRUNDYCENTERELEMENTARYSCHOOL,37.6388874,-121.0002331
BUCHANANCOUNTYSUCCESSCENTER,37.6388874,-121.0002331
EARLYCHILDHOODCENTER,27.4907303,-82.5627669
EASTELEMENTARYSCHOOL,27.4897028,-82.5627736
INDEPENDENCEJUNIORHIGHSCHOOL,44.8866484,-94.3619658
INDEPENDENCESENIORHIGHSCHOOL,44.8866484,-94.3619658
WESTELEMENTARYSCHOOL,27.4880131,-82.5627782
INDEPENDENCECHRISTIANACADEMY,40.4234585,-99.3711134
STJOHNSSCHOOL,42.0459462,-97.8312376
JANESVILLEELEMENTARYSCHOOL,18.0631584,-93.1647219
FAITHBIBLEACADEMY,42.4529171,-92.0555461
LAPORTECITYELEMENTARYSCHOOL,48.6851602,-116.3153481
UNIONHIGHSCHOOL,39.4843514,-80.1439313
STJOSEPHCOMMUNITYSCHOOL,38.211734,-98.2068667
OELWEINHIGHSCHOOL,41.9737772,-91.6610078
OELWEINMIDDLESCHOOL,41.9737772,-91.6610078
PARKSIDEELEMENTARYSCHOOL,45.4590751,-98.492434
WINGSPARKELEMENTARYSCHOOL,40.4420159,-99.3796393
SACREDHEARTELEMENTARYSCHOOL,40.4420159,-99.3796393
APLINGTONPARKERSBURGHIGHSCHOOL,27.7563576,-98.08257
PARKERSBURGELEMENTARYSCHOOL,37.3457106,-95.2632488
NASHUA-PLAINFIELDMIDDLESCHOOL,18.0629104,-93.1662617
COMMUNITYLUTHERANSCHOOL,42.3154065,-95.342416
GLADBROOK-REINBECKHIGHSCHOOL,42.3201439,-92.5992369
REINBECKELEMENTARYSCHOOL,42.1875727,-71.5051921
SHELLROCKELEMENTARYSCHOOL,39.6343517,-76.3906142
NORTHTAMAHIGHSCHOOL,40.230937,-83.3649982
SOUTHEASTELEMENTARYSCHOOL,42.7343929,-93.2025064
WASHINGTONIRVINGELEMENTARYSCHOOL,44.3124348,-93.2726485
WAVERLY-SHELLROCKJUNIORHIGHSCHOOL,44.5176627,-98.9362338
WAVERLY-SHELLROCKSENIORHIGHSCHOOL,44.5301709,-93.5854644
WESTCEDARELEMENTARYSCHOOL,47.4829734,-94.8815094
STPAUL'SLUTHERANSCHOOL,46.4364171,-109.8367839
EASTBUCHANANELEMENTARYSCHOOL,45.8082231,-96.4902547
