NCES ID,Total Revenue,Revenue Per Student,Federal Total - Rev,Federal PS Rev,Local Total Rev,Local PS Rev,State Total Rev,State PS Rev,Total Exp,Exp PS,Total Current Exp,Current Exp PS,Exp - Instruction,Exp - Instructional PS,"Total Exp Student, Staf","PS Exp, Student, Staff",Total Exp Admin,PS Exp Admin,Total Exp Ops,PS Exp Ops,Total Capital Outlay,PS Cap Outlay,Total Construction Outlay,PS Construction Outlay,Total Non El-Sec Ed,PS Non El-Sec Ed,Total Interest on Debt,PS Interest on Debt
1921120,"$3,207,000 ","$12,676 ","$272,000 ","$1,075 ","$2,215,000 ","$8,755 ","$720,000 ","$2,846 ","$5,797,000 ","$22,913 ","$2,630,000 ","$10,395 ","$1,520,000 ","$6,008 ","$192,000 ",$759 ,"$363,000 ","$1,435 ","$555,000 ","$2,194 ","$2,778,000 ","$10,980 ","$2,685,000 ","$10,613 ",$0 ,$0 ,"$114,000 ",$451 
1925050,"$3,211,000 ","$11,893 ","$352,000 ","$1,304 ","$1,807,000 ","$6,693 ","$1,052,000 ","$3,896 ","$3,177,000 ","$11,767 ","$2,509,000 ","$9,293 ","$1,758,000 ","$6,511 ","$33,000 ",$122 ,"$309,000 ","$1,144 ","$409,000 ","$1,515 ","$287,000 ","$1,063 ","$126,000 ",$467 ,$0 ,$0 ,$0 ,$0 
1919740,"$3,257,000 ","$12,673 ","$355,000 ","$1,381 ","$1,515,000 ","$5,895 ","$1,387,000 ","$5,397 ","$3,032,000 ","$11,798 ","$2,483,000 ","$9,661 ","$1,562,000 ","$6,078 ","$194,000 ",$755 ,"$214,000 ",$833 ,"$513,000 ","$1,996 ","$160,000 ",$623 ,"$148,000 ",$576 ,$0 ,$0 ,"$34,000 ",$132 
1904020,"$3,266,000 ","$11,623 ","$295,000 ","$1,050 ","$1,972,000 ","$7,018 ","$999,000 ","$3,555 ","$2,740,000 ","$9,751 ","$2,248,000 ","$8,000 ","$1,529,000 ","$5,441 ","$71,000 ",$253 ,"$242,000 ",$861 ,"$406,000 ","$1,445 ","$273,000 ",$972 ,$0 ,$0 ,"$1,000 ",$4 ,$0 ,$0 
1923220,"$3,294,000 ","$14,640 ","$217,000 ",$964 ,"$2,423,000 ","$10,769 ","$654,000 ","$2,907 ","$3,261,000 ","$14,493 ","$2,517,000 ","$11,187 ","$1,665,000 ","$7,400 ","$98,000 ",$436 ,"$263,000 ","$1,169 ","$491,000 ","$2,182 ","$199,000 ",$884 ,"$105,000 ",$467 ,"$87,000 ",$387 ,$0 ,$0 
1921810,"$3,317,000 ","$14,874 ","$307,000 ","$1,377 ","$2,156,000 ","$9,668 ","$854,000 ","$3,830 ","$2,520,000 ","$11,300 ","$1,971,000 ","$8,839 ","$1,172,000 ","$5,256 ","$87,000 ",$390 ,"$322,000 ","$1,444 ","$390,000 ","$1,749 ","$111,000 ",$498 ,"$48,000 ",$215 ,$0 ,$0 ,"$16,000 ",$72 
1912810,"$3,317,000 ","$14,422 ","$240,000 ","$1,043 ","$2,115,000 ","$9,196 ","$962,000 ","$4,183 ","$2,973,000 ","$12,926 ","$2,346,000 ","$10,200 ","$1,552,000 ","$6,748 ","$110,000 ",$478 ,"$245,000 ","$1,065 ","$439,000 ","$1,909 ","$318,000 ","$1,383 ","$8,000 ",$35 ,$0 ,$0 ,$0 ,$0 
1905970,"$3,353,000 ","$10,747 ","$384,000 ","$1,231 ","$1,808,000 ","$5,795 ","$1,161,000 ","$3,721 ","$3,401,000 ","$10,901 ","$2,774,000 ","$8,891 ","$1,945,000 ","$6,234 ","$70,000 ",$224 ,"$262,000 ",$840 ,"$497,000 ","$1,593 ","$374,000 ","$1,199 ","$136,000 ",$436 ,"$9,000 ",$29 ,$0 ,$0 
1903630,"$3,372,000 ","$11,548 ","$337,000 ","$1,154 ","$1,621,000 ","$5,551 ","$1,414,000 ","$4,842 ","$3,207,000 ","$10,983 ","$2,486,000 ","$8,514 ","$1,659,000 ","$5,682 ","$59,000 ",$202 ,"$297,000 ","$1,017 ","$471,000 ","$1,613 ","$249,000 ",$853 ,"$191,000 ",$654 ,$0 ,$0 ,$0 ,$0 
1911520,"$3,373,000 ","$12,973 ","$331,000 ","$1,273 ","$1,997,000 ","$7,681 ","$1,045,000 ","$4,019 ","$3,057,000 ","$11,758 ","$2,701,000 ","$10,388 ","$1,605,000 ","$6,173 ","$169,000 ",$650 ,"$458,000 ","$1,762 ","$469,000 ","$1,804 ","$114,000 ",$438 ,"$8,000 ",$31 ,$0 ,$0 ,$0 ,$0 
