,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,
,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,
50264,0,1,12,0,0,0,0,0,0,4,0,0,0,0,0,11,10,4,1,0,0,3,9,12,7,4,4,0,4,0,27,0,0,7,0,0,0,0,4,0,0,0,0,0,11,0,11,0,0,0,0,1,7,0,0,0,0,4,18,7,2,0,0,0,3,53,6,0,6,0,F
50265,123,136,431,336,87,499,62,30,72,452,633,307,973,227,102,149,316,290,251,781,388,0,82,661,727,179,1140,727,78,122,466,383,27,408,319,69,152,222,460,133,374,30,0,141,253,426,223,1276,232,0,95,220,326,216,632,219,101,79,974,694,383,1241,592,66,65,866,417,86,392,201,F
50266,20,37,307,233,138,295,0,48,96,274,318,485,1238,174,91,76,92,296,55,707,483,9,17,319,572,173,1006,432,61,22,211,164,39,221,95,0,61,229,468,86,318,8,0,27,99,299,266,1131,423,23,0,182,253,225,850,346,13,41,322,572,324,842,376,100,62,542,288,51,104,93,F
50268,0,16,3,8,0,0,0,11,0,20,11,0,0,0,0,3,41,7,22,0,4,0,27,56,30,9,15,13,22,7,43,10,4,0,0,0,0,34,2,11,0,0,0,4,7,20,9,5,0,0,0,33,6,0,2,18,0,14,83,24,15,21,0,7,38,53,10,3,2,3,F
50271,0,0,0,3,6,0,0,0,0,25,11,0,8,0,0,0,63,12,0,8,0,0,10,50,9,16,6,2,11,1,38,9,0,0,0,0,23,14,16,0,0,0,0,0,13,13,0,7,0,0,0,47,12,3,5,0,5,0,28,34,20,7,7,10,4,52,13,2,2,0,F
50272,0,0,9,0,0,0,0,0,0,5,10,0,0,0,0,2,1,2,0,0,0,5,0,17,2,0,9,1,6,4,11,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,2,0,0,1,0,9,7,3,0,0,1,2,4,0,0,0,0,F
50273,0,18,58,51,24,8,0,0,23,224,84,88,9,8,11,73,193,14,93,92,27,1,3,466,190,51,197,84,44,3,242,141,3,60,21,0,23,93,63,63,0,0,0,0,148,165,79,57,15,0,14,171,107,40,174,9,0,83,469,204,87,157,65,43,16,511,113,15,49,12,F
50274,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,7,8,7,6,3,3,6,32,12,1,11,0,6,0,27,2,0,6,0,2,0,0,0,5,0,0,0,0,4,0,0,0,5,0,0,6,9,3,0,0,0,0,13,14,0,9,0,2,6,21,3,2,8,0,F
50275,0,17,3,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,20,1,0,0,2,43,8,4,1,0,2,0,27,10,0,0,0,0,0,10,0,0,0,0,0,2,21,5,7,0,0,0,0,0,12,31,0,0,2,11,22,11,6,27,0,10,7,42,2,1,0,0,F
50276,24,18,42,5,4,15,0,6,22,42,20,0,38,0,18,38,55,10,9,27,0,30,53,235,64,24,21,27,37,28,63,30,2,6,13,0,46,12,36,8,20,0,0,0,17,32,2,16,17,18,6,40,48,20,45,0,3,23,105,103,21,77,25,23,3,103,24,16,16,5,F
50277,0,0,17,5,7,0,0,0,0,7,0,0,17,0,0,0,4,3,0,3,0,0,0,31,21,0,4,0,0,2,6,7,0,0,0,0,2,0,21,0,0,0,0,0,3,3,0,33,0,0,1,1,3,2,2,3,0,11,3,20,11,21,0,2,1,30,4,0,6,0,F
50278,0,0,59,0,4,0,0,0,3,0,14,4,2,0,8,0,12,17,12,6,12,0,0,67,46,15,12,0,8,3,44,5,4,0,0,0,17,40,2,0,4,0,0,3,2,14,5,3,0,0,0,7,36,4,0,3,0,0,49,49,41,5,3,12,8,57,4,4,13,0,F
50309,8,82,124,32,11,98,0,25,68,154,48,24,489,110,18,100,221,120,10,194,18,58,30,280,98,48,121,105,51,52,29,79,9,52,25,15,10,182,146,28,69,0,34,15,64,22,10,182,97,53,18,32,16,0,54,67,33,80,68,54,45,57,91,66,61,158,35,13,21,0,F
50310,12,309,508,318,44,69,34,55,173,517,549,442,746,129,100,114,565,653,241,420,161,83,161,829,773,414,789,415,32,109,396,292,126,209,200,43,270,298,296,74,178,0,61,122,391,476,310,1256,224,81,15,387,614,102,693,188,153,124,1142,978,409,941,366,92,123,868,482,90,242,125,F
50311,0,177,269,1249,55,151,0,0,98,241,235,90,488,36,47,16,291,226,178,222,59,55,80,401,282,91,318,352,79,25,127,174,32,122,15,0,61,172,1451,49,101,18,38,50,219,243,164,413,134,60,100,127,129,79,201,93,39,20,382,332,210,298,243,56,16,281,124,5,59,56,F
50312,0,47,147,141,0,57,61,4,150,242,270,66,369,231,0,0,158,226,14,321,168,40,67,479,281,90,579,447,31,22,207,169,0,227,266,0,60,127,155,42,297,0,0,24,25,215,67,609,232,16,0,160,182,54,303,276,44,30,398,398,75,794,535,36,90,523,398,77,382,185,F
50313,9,65,354,84,35,40,0,87,176,435,350,250,144,64,58,90,437,303,91,68,0,39,168,1041,548,157,246,72,70,142,378,106,21,95,61,0,96,242,193,122,22,0,88,150,496,218,363,221,52,43,48,407,292,37,181,68,53,195,910,546,195,207,140,70,168,512,119,78,49,28,F
50314,57,82,130,143,5,27,0,188,121,284,132,91,96,30,223,66,289,100,18,108,14,241,90,397,164,79,67,21,46,60,228,80,0,85,0,133,46,267,148,11,84,0,134,229,198,210,89,90,49,118,138,125,226,112,51,21,120,134,355,138,6,81,73,100,87,368,151,29,86,20,F
50315,21,244,599,558,60,70,0,65,170,1176,532,303,338,8,162,350,1060,423,241,456,87,56,433,1810,966,467,343,174,100,354,604,225,40,96,85,32,358,541,515,229,107,41,100,139,874,1069,278,396,125,85,222,1144,816,185,304,67,154,346,1707,1143,320,444,172,162,425,1396,305,91,79,48,F
50316,25,81,353,227,8,65,0,51,339,482,320,57,125,21,96,164,364,155,44,101,10,53,253,745,236,77,185,16,73,198,178,58,16,45,55,18,197,459,410,95,22,0,95,179,380,204,113,247,45,155,112,216,221,163,76,33,170,211,782,353,181,155,76,83,159,416,242,7,62,41,F
50317,54,338,614,488,42,9,18,60,276,786,691,340,382,18,90,177,797,582,269,154,61,142,537,2098,1132,293,278,194,222,419,943,317,42,94,45,3,116,568,557,34,76,0,117,213,663,656,285,333,154,60,73,868,767,300,324,33,210,447,2083,1163,376,463,79,179,567,1427,362,48,111,40,F
50319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
50320,109,129,208,121,123,44,0,119,57,429,383,110,218,134,98,136,440,209,158,193,77,233,193,758,357,186,268,43,34,98,239,224,12,53,36,0,197,281,397,35,235,0,162,131,375,240,160,377,288,95,44,382,322,155,399,23,260,72,940,489,314,326,156,103,94,483,192,0,32,33,F
50321,0,22,89,287,8,52,8,0,41,23,175,29,165,32,11,0,52,192,133,97,37,1,13,190,145,144,292,203,15,33,99,125,0,117,103,11,0,160,353,121,77,0,0,14,96,125,83,125,62,27,23,43,97,10,156,26,0,31,185,365,174,272,153,0,20,132,226,11,91,21,F
50322,0,55,438,288,81,202,0,0,49,460,460,248,890,144,33,27,408,510,210,744,84,94,97,959,799,389,1347,699,28,104,410,384,32,256,322,0,34,287,453,84,196,28,48,54,178,434,306,875,276,20,72,330,406,295,816,204,81,57,956,1194,453,1335,561,43,149,892,568,149,328,82,F
50323,0,7,12,62,22,30,0,0,12,37,69,99,295,115,0,8,77,92,34,498,257,3,11,194,268,40,343,250,0,23,88,59,39,150,69,0,20,9,33,11,52,0,0,0,53,86,102,395,36,0,8,48,56,22,666,270,0,16,307,279,79,373,78,25,0,120,152,21,96,0,F
50324,4,16,112,118,38,57,0,0,0,83,30,59,127,50,34,0,80,22,15,106,34,1,0,102,128,130,214,139,0,15,93,48,14,157,17,0,0,134,0,28,14,0,0,0,27,81,13,108,39,0,0,1,108,14,113,13,9,0,113,206,124,227,123,0,4,225,98,14,107,11,F
50325,0,42,128,104,43,56,0,97,49,183,79,134,296,162,0,27,73,207,117,562,259,48,10,365,225,215,550,585,0,16,57,72,35,308,126,0,129,72,229,33,135,0,77,80,102,75,134,441,73,104,25,76,154,176,314,478,0,56,370,397,214,752,265,3,21,280,99,21,117,116,F
50327,0,43,293,32,65,0,0,19,0,191,75,111,204,17,0,15,66,257,27,179,97,11,45,409,421,152,260,136,18,57,216,139,0,11,37,0,18,109,151,49,60,0,0,15,153,125,124,309,27,0,55,153,117,145,129,69,13,15,635,298,156,251,122,41,7,315,120,0,7,0,F
50401,50,172,546,569,122,53,0,7,34,640,377,429,157,8,81,55,478,575,246,177,216,110,187,1215,1103,501,703,249,124,165,787,420,87,169,209,4,89,355,475,248,90,0,56,114,216,471,362,421,26,48,86,391,434,432,435,66,24,205,1214,1042,767,660,282,167,367,1413,607,196,242,67,F
50420,0,1,3,0,0,0,0,0,1,3,0,2,1,0,0,0,5,0,0,3,0,0,4,27,8,11,11,1,0,3,8,9,0,5,0,0,3,0,13,0,0,0,0,3,4,3,0,4,0,0,0,0,1,0,0,0,0,5,21,20,5,4,0,0,3,22,0,3,3,0,F
50421,0,0,41,3,26,6,0,0,0,19,39,52,17,0,0,0,69,29,36,13,15,35,8,195,118,22,64,0,51,33,108,45,0,34,16,0,0,22,16,23,0,0,0,17,27,41,46,7,0,0,0,20,56,12,30,4,7,9,105,132,91,65,9,29,29,138,72,14,14,26,F
50423,0,25,0,46,8,0,0,0,6,29,31,20,19,0,0,10,45,66,47,9,14,12,17,198,78,39,36,40,68,34,85,66,10,21,27,0,0,20,72,0,0,0,0,28,39,37,32,17,0,0,0,48,25,71,15,3,9,24,153,110,31,69,22,28,64,203,73,24,14,0,F
50424,3,0,2,1,0,0,0,0,6,7,51,12,7,0,0,4,10,51,13,3,13,0,5,93,76,12,50,9,15,21,75,35,10,4,2,0,7,5,35,0,0,0,0,0,21,15,15,17,2,0,0,27,7,39,12,0,0,4,70,46,60,55,9,11,8,108,57,9,10,2,F
50426,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,7,6,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,F
50428,0,46,37,72,97,4,0,0,27,114,46,138,142,85,1,17,92,173,97,43,57,23,85,493,211,211,361,68,48,51,323,105,76,97,135,0,6,78,158,39,34,0,0,77,32,137,89,149,2,0,0,59,99,63,160,42,12,72,468,368,304,374,63,27,65,526,273,61,81,60,F
50430,0,5,8,9,4,0,0,0,0,13,0,0,0,0,0,0,9,12,9,2,3,3,6,20,20,12,12,1,9,4,26,10,2,4,8,0,3,0,9,0,0,0,0,5,2,0,6,0,0,0,0,13,11,3,13,6,0,2,14,19,6,12,1,0,0,24,25,5,6,0,F
50431,19,0,26,2,0,0,0,10,20,9,4,7,2,0,0,5,7,0,0,0,0,9,6,12,8,0,1,2,5,0,3,2,8,0,0,0,8,14,11,0,0,0,0,0,18,6,1,0,0,8,4,12,0,0,0,0,0,6,8,10,4,3,0,0,0,0,9,0,0,0,F
50432,0,0,2,6,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,1,0,0,13,9,2,2,0,0,0,0,0,4,0,0,2,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,29,13,8,0,0,9,0,25,11,3,0,3,F
50433,0,0,0,0,0,0,0,0,0,14,0,0,9,0,0,0,0,3,11,0,0,0,0,16,1,0,8,1,0,1,7,0,0,3,0,0,0,0,6,6,0,0,0,0,0,3,16,0,0,0,0,3,0,7,0,3,0,9,4,4,2,19,0,3,2,14,0,0,2,3,F
50434,0,0,0,0,0,0,0,0,0,4,3,0,2,3,0,2,8,3,2,12,0,0,7,38,6,3,6,2,8,0,37,3,0,2,15,0,0,0,2,0,0,0,0,2,9,6,0,8,0,0,0,11,1,6,7,0,0,4,26,9,10,0,6,8,3,21,11,10,2,0,F
50435,0,0,8,9,2,0,0,0,0,13,5,1,7,0,6,6,19,2,0,0,0,0,2,51,28,6,3,2,15,4,20,2,0,7,0,0,0,5,0,8,0,0,0,0,6,0,3,27,0,5,0,9,12,15,3,0,0,2,31,11,8,0,0,0,15,33,6,0,7,0,F
50436,0,28,66,103,89,73,0,0,5,57,136,20,37,20,2,10,93,48,39,75,36,16,69,268,197,105,114,59,47,21,66,83,30,56,64,1,17,60,152,51,34,0,17,8,25,96,51,68,35,0,0,73,85,41,78,0,0,128,251,160,88,190,24,29,22,263,159,14,41,10,F
50438,0,31,68,11,22,21,0,17,0,124,57,85,32,0,0,10,46,46,27,23,44,0,16,182,142,78,172,28,32,8,176,25,9,6,7,0,28,42,0,29,24,0,32,0,41,37,69,49,23,13,0,61,17,48,51,0,0,13,187,181,146,79,6,33,4,173,79,8,26,10,F
50439,0,0,2,0,0,0,0,0,3,7,0,0,8,0,6,7,7,2,0,0,0,1,2,26,12,2,0,0,4,1,4,7,0,0,0,0,0,3,6,0,0,0,0,1,2,4,1,5,0,0,0,2,3,0,0,0,3,7,9,23,3,0,0,1,2,12,0,3,0,0,F
50440,0,0,13,20,3,0,0,0,0,2,3,9,0,0,0,1,0,10,0,3,0,0,3,26,71,9,11,0,0,0,12,5,2,0,0,0,6,7,2,3,0,0,0,0,0,15,2,0,0,0,0,31,5,0,11,0,0,3,9,22,24,8,0,0,2,19,2,0,2,0,F
50441,0,40,41,76,16,0,0,55,72,10,82,43,34,13,47,70,79,148,26,35,0,19,111,357,246,87,68,57,116,24,157,111,0,24,19,0,0,43,39,39,0,0,71,12,68,28,45,56,5,27,19,75,47,76,42,31,1,142,384,161,127,130,23,44,56,397,129,54,36,0,F
50444,0,0,8,0,0,0,0,0,6,3,5,29,1,0,0,0,6,2,44,1,0,0,0,30,22,0,1,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,2,6,4,0,0,1,25,30,30,18,3,1,0,4,0,1,2,0,F
50446,0,3,0,0,0,0,0,2,0,6,4,7,0,12,0,0,19,11,4,0,0,0,10,9,27,24,25,14,0,0,4,16,0,0,5,0,0,0,2,25,0,0,0,2,8,2,2,8,0,0,0,8,8,7,0,13,1,0,14,21,15,16,6,0,0,11,19,2,2,1,F
50447,0,30,0,0,3,0,0,5,0,38,17,16,0,4,0,0,57,20,0,0,0,0,4,60,45,14,11,7,21,0,96,19,2,1,0,0,32,10,27,0,0,0,1,0,13,4,4,7,2,0,0,52,40,17,0,0,0,9,36,30,11,13,16,31,14,104,35,1,18,0,F
50448,0,0,15,5,0,0,0,0,2,2,0,7,1,0,0,0,6,13,5,3,0,2,10,41,20,17,26,7,0,11,47,9,0,0,0,0,0,1,0,0,0,0,0,0,2,8,3,5,0,0,0,11,6,14,0,0,2,6,47,37,18,5,0,1,0,36,8,9,8,0,F
50449,0,25,23,0,8,0,0,0,2,23,7,7,0,0,0,0,43,2,6,4,0,10,22,80,32,6,17,0,6,9,27,3,0,3,3,0,0,9,32,9,0,0,0,6,22,11,11,0,0,0,6,30,4,0,0,0,0,0,31,37,40,18,3,3,13,20,23,3,18,0,F
50450,0,44,17,22,7,8,0,0,39,21,38,25,6,0,0,30,57,76,7,0,18,4,23,169,121,41,76,5,7,33,124,14,3,22,5,0,29,7,5,0,0,0,0,0,0,16,25,22,6,0,7,18,85,25,35,24,4,7,176,121,54,50,13,53,33,177,56,24,39,10,F
50451,0,0,11,4,0,3,0,0,0,9,13,0,4,0,2,0,24,5,0,2,2,0,4,28,7,13,11,0,7,3,29,2,1,0,6,0,0,2,4,0,0,0,0,0,34,0,14,0,0,0,0,0,4,0,0,0,0,0,45,23,9,2,0,18,4,20,27,0,0,0,F
50452,0,0,31,30,7,6,0,7,8,31,0,26,10,0,0,24,12,4,6,12,4,0,3,30,40,21,8,0,9,16,20,14,0,11,0,0,0,15,0,8,2,0,11,17,17,14,6,2,0,0,0,7,17,5,4,8,0,0,32,31,25,16,7,6,7,34,22,0,14,0,F
50453,0,15,5,12,0,0,0,0,3,1,3,10,0,0,0,2,43,13,3,5,0,2,11,48,3,1,15,5,0,14,38,31,0,0,0,0,6,2,35,0,3,0,0,1,13,6,3,2,0,0,2,19,3,15,0,0,0,4,44,16,2,14,0,0,1,31,19,9,0,0,F
50454,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,6,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,F
50455,0,0,14,22,13,0,0,0,0,5,0,4,0,0,0,0,4,8,0,3,0,0,0,53,8,8,0,0,16,2,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,4,0,0,0,11,11,0,0,0,0,0,37,18,2,0,0,5,6,15,6,0,0,0,F
50456,0,28,0,15,14,5,0,0,15,48,15,0,10,8,0,4,44,27,15,4,0,4,12,90,13,36,42,4,16,23,90,28,14,5,12,0,1,10,13,0,4,0,0,0,26,48,18,4,0,0,0,17,55,30,15,0,3,3,79,77,24,34,8,0,16,124,29,3,23,0,F
50457,6,1,5,7,0,0,0,0,0,3,7,0,5,0,33,0,17,4,3,3,8,0,4,27,23,5,7,0,3,4,14,0,5,12,0,0,3,3,5,4,0,0,0,0,11,22,6,4,0,0,0,8,6,2,5,0,0,7,8,24,13,9,0,5,0,37,10,3,2,0,F
50458,8,3,23,37,0,0,0,0,5,37,39,32,1,8,0,14,65,32,18,11,14,9,4,163,49,46,45,16,2,19,84,16,3,12,12,0,0,0,75,0,4,0,0,0,16,18,36,36,0,0,0,41,47,8,25,15,3,6,100,98,38,45,19,0,22,101,59,10,9,6,F
50459,0,32,26,19,18,0,0,0,27,23,46,81,15,0,6,41,53,33,6,53,0,2,32,185,124,41,70,20,59,29,76,22,0,32,30,8,10,49,35,4,16,0,0,33,23,51,27,28,0,0,3,11,55,57,6,6,0,7,187,72,74,51,17,24,34,109,78,70,57,8,F
50460,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,5,0,0,0,0,0,0,19,2,13,1,0,0,0,18,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,3,0,0,0,0,19,16,0,0,0,3,0,27,0,1,0,2,F
50461,21,0,72,52,29,28,0,3,21,117,95,59,14,12,0,0,106,76,44,19,10,20,8,387,195,48,119,44,124,17,162,72,4,72,32,27,0,62,84,45,0,0,0,24,37,89,63,54,9,0,0,80,104,33,49,0,41,10,266,170,76,124,60,62,88,307,89,42,100,3,F
50464,0,0,6,17,2,0,0,0,2,28,11,0,0,0,3,0,39,12,11,3,0,5,1,35,50,25,4,5,3,2,20,6,0,0,3,0,0,31,6,13,0,0,0,6,7,17,6,8,0,0,0,4,14,11,8,0,2,6,42,36,15,23,9,8,4,30,12,0,0,0,F
50465,0,0,0,0,0,2,0,0,0,0,2,0,6,0,0,2,13,0,2,0,0,0,0,20,0,0,0,0,2,1,4,0,0,0,5,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,2,4,5,0,1,0,2,14,0,0,6,0,0,10,12,0,0,0,F
50466,25,2,19,11,3,0,0,22,0,22,18,5,12,0,10,0,42,71,2,0,0,5,15,104,30,6,20,8,35,15,108,0,0,2,3,22,16,5,17,29,6,0,7,9,5,15,12,11,3,10,0,38,39,13,0,4,5,8,113,70,17,24,7,10,11,167,46,3,23,0,F
50467,0,0,1,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,4,5,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,2,0,2,0,0,F
50468,0,6,16,62,2,2,0,0,2,15,18,2,9,0,0,0,57,23,14,5,0,0,22,92,39,12,45,0,0,17,86,13,2,17,0,0,16,16,18,9,0,0,0,0,11,17,18,7,0,0,0,10,47,18,14,6,4,9,59,82,26,28,17,0,3,89,39,6,6,0,F
50469,0,0,32,27,0,2,0,0,0,9,39,21,11,0,1,3,31,26,18,13,6,4,4,64,43,52,19,17,20,15,62,36,17,19,0,0,7,9,3,13,2,0,0,0,26,10,27,7,4,0,0,18,24,36,12,6,0,7,52,30,51,61,5,9,11,109,47,32,3,0,F
50470,0,0,11,0,0,0,0,0,0,3,2,2,0,0,0,2,19,0,0,0,0,0,2,10,21,4,0,0,2,0,24,9,0,1,0,0,0,2,0,0,0,0,0,0,10,0,12,0,0,0,1,0,5,2,0,0,0,2,14,13,3,16,0,0,5,14,10,3,6,0,F
50471,0,3,3,9,2,0,0,2,1,9,2,2,14,0,0,2,6,14,15,23,0,0,16,33,21,5,23,0,13,2,24,13,2,5,0,0,0,0,4,3,0,0,0,0,4,5,15,0,0,0,0,52,15,15,6,0,1,0,34,6,15,15,0,2,3,31,12,0,12,0,F
50472,0,0,13,55,20,5,0,22,0,38,26,9,8,5,0,0,77,53,37,6,6,11,13,127,35,67,63,34,38,10,114,33,25,11,26,0,1,0,48,0,0,0,0,0,20,17,35,7,3,0,15,2,71,56,62,2,2,5,87,102,51,73,12,29,31,136,48,10,56,3,F
50473,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,22,1,12,0,2,4,0,14,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,11,30,5,1,0,2,0,0,3,3,2,0,0,F
50475,0,9,9,43,4,0,0,0,24,17,12,22,7,0,0,4,12,26,12,23,3,0,0,78,52,40,9,11,5,6,94,33,0,7,6,0,6,15,9,19,0,0,0,6,6,21,18,23,2,0,0,37,8,23,26,12,0,0,49,69,10,27,29,18,25,97,41,10,18,5,F
50476,0,13,14,0,13,0,0,0,3,12,3,9,3,0,0,0,3,3,19,0,0,0,0,56,37,26,4,3,29,6,22,0,0,7,0,0,6,3,5,0,3,0,0,9,2,12,19,0,0,0,0,7,6,7,12,0,0,0,67,34,22,3,0,8,0,68,20,4,0,8,F
50477,0,0,5,13,0,0,0,0,8,9,0,0,7,0,0,1,6,4,0,4,0,8,1,24,9,2,0,0,2,5,23,6,2,0,0,0,1,0,0,0,0,0,0,0,16,3,0,2,0,0,0,0,10,2,0,7,0,0,14,7,3,0,0,2,4,16,5,0,0,0,F
50478,0,25,8,3,1,0,0,0,17,20,29,0,23,0,0,0,27,19,0,0,0,8,33,30,2,2,60,6,0,3,61,9,1,8,2,0,1,12,12,0,0,0,0,0,25,18,0,8,0,0,0,3,26,10,17,0,0,1,21,37,4,40,31,3,5,63,22,3,10,0,F
50479,0,3,16,0,3,0,0,0,0,18,3,0,1,0,0,0,23,13,12,6,0,0,0,24,21,32,18,4,14,11,38,13,4,2,5,0,0,2,19,5,0,0,0,0,5,2,17,7,1,0,0,8,11,1,16,0,0,15,20,45,17,15,5,2,0,35,22,9,5,3,F
50480,0,0,3,8,4,0,0,0,7,7,4,13,21,0,0,0,15,11,0,9,0,0,1,43,55,11,28,10,29,2,44,21,0,0,7,0,4,6,0,4,0,0,0,5,0,2,2,12,0,0,0,8,12,0,7,0,0,4,52,33,20,19,0,28,11,75,23,7,17,0,F
50482,0,11,3,9,0,0,0,0,0,14,7,0,4,0,0,0,5,2,14,21,5,0,2,57,51,32,31,15,3,7,16,3,0,33,21,0,3,3,5,0,15,0,0,0,5,5,6,22,0,0,5,16,11,17,9,0,0,0,47,38,39,29,0,3,3,43,16,16,26,0,F
50483,0,4,18,24,0,8,0,0,2,13,14,3,12,0,0,0,10,11,11,2,0,0,7,82,13,22,18,0,5,11,26,11,0,3,0,0,0,2,4,4,5,0,0,2,0,4,6,7,0,0,0,5,27,6,0,0,2,1,36,36,16,53,3,10,12,31,13,0,3,0,F
50484,0,12,0,0,3,0,0,0,1,7,4,4,0,3,0,0,8,15,0,0,0,0,0,23,16,9,4,0,0,4,20,5,1,0,3,0,0,3,0,0,0,0,0,0,2,6,2,1,0,0,0,0,14,7,2,0,0,0,22,15,5,5,0,2,5,30,7,2,10,0,F
50501,1,275,499,1104,112,18,0,97,250,667,533,270,321,11,4,71,769,426,182,162,53,136,325,937,890,436,655,338,200,219,678,258,66,219,184,2,131,405,665,101,95,0,53,141,359,316,262,347,81,0,102,382,458,265,263,48,139,233,1230,1024,470,558,155,280,260,1401,471,47,240,86,F
50510,0,19,12,8,7,0,0,0,14,25,2,0,11,4,3,0,12,2,16,24,0,3,6,51,43,33,32,6,6,5,58,18,2,6,8,0,16,2,6,0,8,0,0,0,5,29,8,17,0,3,0,5,7,11,9,0,0,0,46,45,22,36,11,5,7,69,31,11,10,11,F
50511,0,51,23,54,18,16,0,0,4,84,42,114,103,12,9,31,70,81,37,55,20,9,70,531,198,97,132,109,90,26,364,115,22,20,65,0,75,54,122,0,0,0,3,0,65,71,135,36,0,9,43,79,81,54,84,19,81,22,314,326,110,211,65,73,28,571,114,29,131,21,F
50514,0,0,15,12,0,0,0,0,0,35,4,21,3,0,0,0,20,14,23,4,12,0,19,71,61,37,42,16,9,21,60,11,0,6,3,0,18,19,0,0,0,0,0,4,19,15,26,13,2,0,0,0,46,3,0,3,0,11,63,76,30,36,0,15,41,85,35,0,12,4,F
50515,0,0,3,0,0,0,0,0,3,19,4,0,4,5,0,0,7,0,4,0,0,0,4,19,2,3,1,0,0,0,15,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,2,2,5,6,0,0,2,0,13,5,3,2,0,0,0,14,4,0,0,0,F
50516,0,0,14,4,0,4,0,0,0,17,5,3,0,0,0,0,22,2,10,4,0,0,13,32,19,14,3,2,2,18,19,2,7,0,0,0,0,4,3,0,0,0,0,0,11,10,15,3,0,0,0,3,10,9,6,3,0,1,28,21,36,3,0,0,10,26,11,19,0,0,F
50517,0,0,16,16,5,0,0,0,6,18,0,10,2,0,0,0,20,0,30,16,0,0,9,69,37,5,0,2,22,12,56,17,0,0,0,0,0,20,0,4,5,0,13,3,0,11,8,4,12,0,0,24,3,26,10,14,0,3,37,33,30,5,0,10,15,78,20,3,12,2,F
50518,0,0,4,19,0,0,0,0,0,32,0,13,2,2,0,0,6,0,3,3,0,0,2,17,27,55,0,0,0,2,17,10,0,2,0,0,0,0,23,0,0,0,0,0,4,4,9,0,9,0,1,9,2,7,0,0,0,0,29,34,19,2,0,0,6,14,1,0,12,0,F
50519,0,4,3,18,0,0,0,0,11,15,6,5,2,0,7,0,13,15,4,0,0,0,2,23,12,8,0,2,4,4,23,2,0,0,6,0,0,6,12,0,0,0,4,6,9,23,0,0,3,0,0,4,0,6,0,0,0,0,25,28,5,14,0,6,7,32,3,8,4,4,F
