,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,
,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,
50102,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,12,0,0,11,0,0,0,0,0,F
50103,0,0,2,0,0,4,0,0,0,0,31,3,6,1,0,0,29,37,0,13,0,9,19,28,8,7,0,6,4,8,11,1,5,5,0,0,11,0,12,0,0,0,0,0,3,7,0,22,0,0,0,0,38,11,12,0,0,11,45,17,7,1,0,0,2,14,11,0,0,2,F
50104,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,1,2,0,0,0,5,14,1,0,0,0,0,2,4,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,5,0,0,0,0,6,0,0,2,0,0,4,2,14,0,0,F
50105,0,4,6,24,0,7,0,0,7,16,29,3,12,6,0,0,14,19,5,32,9,2,4,47,53,16,34,25,0,0,9,8,3,21,3,0,3,10,6,0,4,0,0,0,0,23,4,19,4,0,0,37,18,19,46,8,0,3,34,18,22,44,9,0,4,10,18,0,0,17,F
50106,0,20,24,6,0,0,0,15,4,10,1,0,13,0,0,5,23,4,13,4,3,0,4,52,28,25,11,0,0,2,14,17,0,2,0,0,3,7,3,0,4,0,10,3,15,11,5,19,4,0,5,0,41,5,8,2,0,10,48,10,47,25,3,7,2,45,10,0,8,0,F
50107,0,8,7,28,0,0,0,0,0,2,4,9,6,0,0,0,30,11,0,21,14,0,25,63,30,23,10,2,4,9,59,10,0,5,3,0,8,0,2,0,0,0,0,1,6,1,22,0,4,0,25,5,12,27,20,0,3,10,64,35,18,14,0,0,22,73,5,7,4,0,F
50108,0,0,8,0,0,2,0,0,2,10,1,0,0,0,0,0,25,0,1,0,0,2,3,49,23,0,22,0,5,14,23,17,2,0,0,0,0,5,0,19,0,0,0,5,11,10,1,0,0,0,0,14,10,5,0,0,0,4,39,25,0,10,0,0,13,23,5,14,5,0,F
50109,0,11,80,38,4,0,0,0,9,74,26,50,40,13,0,0,43,79,13,58,32,10,12,46,80,38,81,35,11,0,36,59,0,17,10,0,4,10,11,2,0,0,0,0,4,57,20,74,27,0,0,36,58,64,104,16,7,3,131,79,59,8,51,0,0,91,22,3,29,11,F
50111,0,58,90,135,0,50,0,11,0,48,138,98,303,42,0,0,134,147,96,337,84,16,53,161,340,189,285,149,0,7,105,24,25,50,41,0,39,65,82,29,44,0,0,0,39,274,142,266,124,0,0,64,154,200,208,188,0,23,274,187,134,285,144,105,19,181,51,14,10,10,F
50112,0,111,232,613,20,88,0,0,42,110,108,68,27,48,0,31,317,100,77,75,97,0,59,643,248,37,258,117,89,72,342,48,19,126,172,29,12,224,758,32,47,0,0,19,132,116,88,108,64,0,0,121,155,124,93,105,0,88,514,301,261,128,153,26,72,686,220,41,156,111,F
50115,0,31,9,59,7,0,0,3,28,65,14,44,41,0,7,13,36,47,39,12,0,0,22,113,47,21,59,28,16,46,112,20,3,16,2,0,0,23,25,8,0,0,0,7,19,72,12,18,8,0,8,40,65,26,17,6,0,21,132,53,48,58,11,26,23,205,39,30,21,0,F
50116,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,28,6,0,0,0,4,0,12,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,28,0,0,2,0,0,0,13,0,0,2,0,2,1,17,1,9,0,0,F
50117,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,13,0,0,0,18,0,0,7,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,11,0,21,4,0,0,0,0,0,13,0,4,12,10,0,0,0,11,0,0,0,F
50118,0,3,11,7,0,0,0,0,0,14,4,2,7,2,0,7,28,14,17,5,0,0,10,60,31,8,18,0,3,9,29,27,0,0,3,0,0,6,0,0,0,0,0,0,15,23,11,3,2,0,2,9,11,20,0,0,0,2,98,35,9,3,2,16,7,75,20,11,3,0,F
50119,0,0,11,1,0,0,0,0,0,11,8,2,6,0,0,11,1,12,0,0,0,0,9,30,37,12,3,0,11,6,34,4,0,1,0,0,12,5,0,0,0,0,0,9,2,2,8,12,0,0,0,6,11,0,1,0,0,3,68,29,6,0,0,2,8,13,0,0,0,2,F
50120,0,0,0,2,9,0,0,0,0,10,14,8,0,0,0,0,0,5,4,4,0,0,8,13,12,0,4,0,0,0,9,2,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,4,0,0,0,0,4,2,2,0,0,2,26,8,2,3,1,0,0,2,0,0,0,0,F
50122,0,0,4,3,5,0,0,0,4,0,6,50,0,0,0,0,41,15,17,10,4,0,12,72,26,43,31,10,3,7,80,25,3,25,3,0,4,6,5,10,0,0,0,0,13,0,7,56,0,0,0,55,23,35,7,7,0,0,60,23,33,39,0,0,5,64,74,23,12,3,F
50123,0,4,5,0,3,0,0,0,11,20,11,3,8,0,0,0,8,8,2,12,0,0,15,64,7,12,4,4,2,6,48,14,0,4,3,0,11,4,8,3,0,0,0,0,11,10,6,2,0,0,4,0,2,3,4,0,0,4,67,28,7,6,3,6,20,74,31,0,0,4,F
50124,0,11,175,79,15,0,0,0,0,0,36,10,35,24,5,0,17,36,26,174,42,32,0,147,157,0,61,36,0,0,0,60,0,13,8,0,12,50,37,22,14,0,11,0,20,53,42,54,10,0,0,10,77,51,78,66,0,0,204,49,78,124,28,0,35,112,44,0,0,26,F
50125,22,41,291,650,91,29,0,0,0,326,188,217,311,39,25,21,373,270,85,302,144,16,37,773,554,238,527,253,76,118,383,205,10,114,126,0,33,207,1037,61,107,0,6,12,238,303,167,240,44,14,3,299,299,197,331,148,9,61,786,699,239,482,382,44,106,741,412,27,211,57,F
50126,0,33,102,239,9,41,0,0,16,83,140,60,85,23,0,35,89,72,91,24,25,27,97,259,260,108,137,113,45,38,169,114,10,55,75,0,8,80,220,44,12,0,0,20,30,92,97,89,17,0,18,41,90,67,43,0,0,48,236,218,222,128,60,91,75,424,185,36,101,10,F
50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,F
